row,file,date,imageNo,image,multipleEmbNotes,strain,spn4,condition,transcript,cell_stage,total_no_RNA,No_RNA_clusters,No_RNA_in_clusters,fraction_RNA_in_clusters,avg_no_RNA_per_cluster
71,C04.csv,211105,Image_20,211105_Image_20,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,12-15-cell,600,1,7,0.011666667,7
72,C04.csv,211105,Image_28,211105_Image_28,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,12-15-cell,2863,4,21,0.007334963,5.25
73,C04.csv,211105,Image_29,211105_Image_29,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,12-15-cell,2518,8,57,0.022637014,7.125
74,C04.csv,211102,Image_10,211102_Image_10,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,16-28-cell,1093,6,38,0.034766697,6.333333333
75,C04.csv,211102,Image_05,211102_Image_05,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,16-28-cell,2979,22,128,0.042967439,5.818181818
76,C04.csv,211102,Image_24,211102_Image_24,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,16-28-cell,2080,8,45,0.021634615,5.625
77,C04.csv,211102,Image_28,211102_Image_28,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,16-28-cell,2019,6,33,0.016344725,5.5
78,C04.csv,211102,Image_30,211102_Image_30_upper_right,upper,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,16-28-cell,2218,6,33,0.014878269,5.5
79,C04.csv,211105,Image_01,211105_Image_01,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,16-28-cell,1767,4,32,0.018109791,8
80,C04.csv,211102,Image_30,211102_Image_30_bottom_left,bottom,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,16-28-cell,3263,37,220,0.067422617,5.945945946
81,C04.csv,211105,Image_02,211105_Image_02,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,16-28-cell,817,1,5,0.006119951,5
82,C04.csv,211102,Image_03,211102_Image_03,NA,N2,spn4_wt,N2,C04B4.2,2-cell,3300,31,233,0.070606061,7.516129032
83,C04.csv,211102,Image_04,211102_Image_04,NA,N2,spn4_wt,N2,C04B4.2,2-cell,3656,40,260,0.071115974,6.5
84,C04.csv,211102,Image_05,211102_Image_05,NA,N2,spn4_wt,N2,C04B4.2,2-cell,3792,69,546,0.143987342,7.913043478
85,C04.csv,211102,Image_09,211102_Image_09,NA,N2,spn4_wt,N2,C04B4.2,2-cell,2589,31,186,0.07184241,6
86,C04.csv,211102,Image_10,211102_Image_10,NA,N2,spn4_wt,N2,C04B4.2,2-cell,2703,19,119,0.044025157,6.263157895
87,C04.csv,211102,Image_13,211102_Image_13,NA,N2,spn4_wt,N2,C04B4.2,2-cell,1505,28,172,0.114285714,6.142857143
88,C04.csv,211105,Image_04,211105_Image_04,NA,N2,spn4_wt,N2,C04B4.2,2-cell,3803,74,511,0.134367605,6.905405405
89,C04.csv,211105,Image_07,211105_Image_07,NA,N2,spn4_wt,N2,C04B4.2,2-cell,2969,12,68,0.022903334,5.666666667
90,C04.csv,211102,Image_02,211102_Image_02,NA,N2,spn4_wt,N2,C04B4.2,8-11-cell,2009,20,189,0.094076655,9.45
91,C04.csv,211102,Image_05,211102_Image_05,NA,N2,spn4_wt,N2,C04B4.2,8-11-cell,781,6,63,0.080665813,10.5
92,C04.csv,211102,Image_08,211102_Image_08_left,left,N2,spn4_wt,N2,C04B4.2,8-11-cell,1983,25,248,0.125063036,9.92
93,C04.csv,211102,Image_08,211102_Image_08_right,right,N2,spn4_wt,N2,C04B4.2,8-11-cell,673,13,101,0.150074294,7.769230769
94,C04.csv,211105,Image_06,211105_Image_06,NA,N2,spn4_wt,N2,C04B4.2,8-11-cell,1969,24,151,0.076688674,6.291666667
95,C04.csv,211105,Image_08,211105_Image_08,NA,N2,spn4_wt,N2,C04B4.2,8-11-cell,1076,15,127,0.11802974,8.466666667
96,C04.csv,211105,Image_14,211105_Image_14,NA,N2,spn4_wt,N2,C04B4.2,8-11-cell,1011,18,169,0.167161227,9.388888889
97,C04.csv,211105,Image_17,211105_Image_17,NA,N2,spn4_wt,N2,C04B4.2,8-11-cell,1054,19,123,0.116698292,6.473684211
98,C04.csv,211102,Image_01,211102_Image_01,NA,N2,spn4_wt,N2,C04B4.2,4-cell,1961,24,182,0.092809791,7.583333333
99,C04.csv,211102,Image_11,211102_Image_11,NA,N2,spn4_wt,N2,C04B4.2,4-cell,2373,19,146,0.061525495,7.684210526
100,C04.csv,211102,Image_13,211102_Image_13,NA,N2,spn4_wt,N2,C04B4.2,4-cell,2779,30,211,0.075926592,7.033333333
