AB	ABa	ABal	ABalx	ABar	ABarx	ABp	ABpl	ABplx	ABpr	ABprx	C	Cx1	Cx2	D	E	EMS	Ea	Ep	MS	MSx1	MSx2	P0	P1	P2	P3	P4
Y39H10B.2	5.506	0	3.548	0.334	0	0	0	0	0	0.13	0	15.226	5.002	0	0	0	0	0	0	0	0	0	0.674	0	0	0.208	0
Y40A1A.2	0	0	222.756	97.263	20.154	110.979166666667	9.068	29.324	73.1718181818182	28.33	83.4966666666667	0	124.292	1.00833333333333	0	83.364	0	96.4125	59.7916666666667	55.336	116.502	77.6828571428571	0	0	0	0	0
Y40B10A.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.25166666666667	0	0	0	0	0	0	0	0
Y40B10A.2	0	0	0	0.915	0.442	0	0	19.222	0	0.152	3.87833333333333	0	0	0	0	0	1.63	0	0	3.522	0	26.2985714285714	0.236	0	0	0	0
Y40B10A.6	0	0	0	0.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.17	0	0	0	0	0	0	0	0
Y40B10A.9	8.296	0.516	31.498	0.038	0	1.63166666666667	0.946	0	0.443636363636364	0	0.3025	0	0	0	0	0	0.564	1.2575	0	0	0	0	16.748	0	2.9	58.066	50.4566666666667
Y40B10B.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.55	0	0	0	0	0	0	0	0	0
Y40B1A.1	284.552	334.492	187.494	131.107	81.534	185.873333333333	341.662	164.46	158.37	213.402	109.9675	224.154	47.046	86.7216666666667	39.9433333333333	252.77	260.788	239.75	268.703333333333	436.838	53.346	99.26	270.616	319.044	261.298	1175.694	867.688333333333
Y40B1A.2	0	0	7.714	0	5.048	0	0	0	0	0	0	0	0	8.54833333333333	0	0	0	2.0025	0	0	2.338	0	0	0	0	0	0
Y40B1A.3	0.086	3.34	0	0.301	0	9.38666666666667	0	0.216	5.13727272727273	0	5.49833333333333	0	0	1.09166666666667	0	0.608	0.438	0	0	0	0.244	0.364285714285714	0.326	0.306	0	0	0
Y40B1A.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.2416666666667	0	0	0	0	0	0	1.38285714285714	0	0	0	0	0
Y40B1B.7	60.588	96.052	162.02	294.696	197.838	62.6816666666667	115.83	99.192	116.471818181818	128.922	122.178333333333	188.492	66.426	485.875	89.1083333333333	132.68	86.41	107.585	325.003333333333	605.552	40.102	206.197142857143	92.298	86.57	122.084	193.866	148.311666666667
Y40B1B.8	62.078	61.524	136.694	12.308	40.884	0.0675	70.198	65.586	0.467272727272727	63.336	4.89666666666667	21.438	0	1.51	25.72	11.004	66.844	0	0	6.04	0	1.33142857142857	57.088	44.674	76.366	100.108	5.70833333333333
Y40C5A.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6516666666667	0	0	0.0971428571428572	0	0	0	0	0
Y40C5A.4	0	6.744	0	0	0	0	0	0	0	0	0.0325	16.528	0	0	0	0	0	62.0675	0	0	0.078	0	10.53	4.026	0.18	0	76.32
Y40D12A.1	178.71	35.022	30.318	15.536	1.284	40.3525	31.296	0.13	0	0.32	0.1725	151.664	53.444	56.2983333333333	120.103333333333	130.778	115.16	1.125	0.336666666666667	3.382	0	55.62	226.162	121.802	148.976	226.302	267.361666666667
Y40D12A.2	0	0	0	0.63	0	0	0	0	0	0	2.29333333333333	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0
Y40H7A.4	0.396	1.876	1.048	16.369	1.172	1.11666666666667	8.31	0	49.4790909090909	35.456	5.72416666666667	16.95	0	0.71	0	0	0.096	5.37	0	0	0	133.764285714286	1.512	0	0.372	2.46	0
Y41C4A.11	0	0.526	8.85	13.27	0	3.52583333333333	0.212	0	4.42363636363636	1.182	3.28416666666667	0	0	0	0	0	0.964	0	0	1.414	0	0.437142857142857	0	0	0	0	0
Y41C4A.13	4.32	0	0	3.014	0	3.23916666666667	2.406	6.592	0.0936363636363636	0	0	0	12.704	2.31666666666667	0	13.882	1.06	0	0	0	0	0.428571428571429	1.834	2.886	0.68	0	11.2383333333333
Y41C4A.17	0	0	22.912	11.071	0	34.17	0	45.37	78.3736363636364	6.126	66.3933333333333	135.82	0	38.1083333333333	0	0.866	29.71	0	0	9.254	0	0	0	0	0	0	0
Y41C4A.22	0	0.99	2.034	0	0	0	0	0	6.88181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y41C4A.28	0	0	0	0	0	0	0	0	0	0	0	0	27.914	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y41C4A.8	12.1	8.416	1.366	2.699	8.732	0	7.328	0	5.24727272727273	1.678	0	0.8	0	0	0	0.138	3.678	0	0	65.298	21.594	0	9.31	7.8	9.438	19.166	2.25666666666667
Y41C4A.9	58.032	25.128	19.766	0.701	10.034	4.00583333333333	25.552	4.548	18.5981818181818	13.026	4.3525	81.394	6.11	18.15	40.0083333333333	22.208	34.858	0.9925	0.108333333333333	21.564	1.698	23.2828571428571	66.11	41.364	19.478	24.462	61.625
Y41D4A.3	0	0	3.358	31.78	0.18	36.4708333333333	0	41.612	121.133636363636	0	213.585	9.232	205.904	1.90666666666667	12.9133333333333	0	0	0	1.10333333333333	0	333.542	10.82	0	0	0	0.2	0
Y41D4A.4	90.896	24.014	0.788	4.128	0.052	4.105	13.55	16.564	20.1218181818182	3.546	6.51083333333333	37.31	0	0.181666666666667	139.728333333333	0.25	81.926	11.5175	4.475	0	3.246	2.49857142857143	100.266	107.438	93.806	169.302	185.675
Y41D4A.5	40.75	66.852	57.784	9.961	61.254	11.1325	63.936	79.566	2.87909090909091	44.25	1.045	42.172	0	0	18.4933333333333	0.456	45.32	0	12.8866666666667	0.338	0.068	0	18.19	61.984	31.424	20.564	28.6983333333333
Y41D4A.6	51.502	48.264	47.3	48.449	14.154	9.6575	29.95	69.658	12.4509090909091	35.572	41.0416666666667	33.298	2.718	16.14	0.32	42.59	67.84	3.4525	0	11.898	0.578	10.1114285714286	13.888	63.322	33.318	40.16	0.188333333333333
Y41D4A.8	0.218	0	0	0	0	0	0	0	0.602727272727273	0	0	0	0	0	0	0	0	0	0	0	0	23.2014285714286	2.164	0	1.872	0	0
Y41D4B.1	0	0	0	0	0	0	8.302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102857142857143	0	0	0	0	0
Y41D4B.11	56.518	92.684	96.052	129.637	160.162	86.0716666666667	83.35	45.892	79.9009090909091	95.334	123.89	160.124	75.768	411.955	65.0733333333333	146.72	82.742	12.5275	68.0716666666667	107.338	253.03	21.6157142857143	67.492	50.57	108.658	110.468	179.375
Y41D4B.14	9.196	35.444	268.866	566.582	433.634	695.956666666667	22.714	230.354	674.221818181818	121.68	924.518333333333	198.324	243.3	850.4	2.60833333333333	631.756	104.342	1350.9975	1517.415	503.754	1070.49	965.79	19.664	6.23	11.82	24.236	38.2533333333333
Y41D4B.31	0	0	0	3.736	0	3.19666666666667	0	0	0	0	0	0	0	0	0	0	0	7.285	0	0	0	0	0	0	0	0	0
Y41D4B.4	1.85	0.046	0	0.12	3.154	0.874166666666667	8.17	0	0.0263636363636364	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0.556	5.18	9.112	12.42	0
Y41E3.1	379.444	400.716	150.834	24.842	169.464	131.3475	273.728	358.76	84.5327272727273	283.6	50.6316666666667	328.422	186.606	15.645	114.75	81.276	257.36	4.29	9.38666666666667	61.978	76.872	6.57857142857143	293.158	226.96	350.11	394.304	344.351666666667
Y41E3.11	23.81	34.168	27.42	33.638	24.478	49.2633333333333	39.578	31.982	28.3909090909091	19.782	28.66	23.174	22.81	38.3583333333333	115.878333333333	64.772	32.286	104.4925	14.35	25.296	13.112	22.0642857142857	25.146	23.046	15.102	23.548	16.6416666666667
Y41E3.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.086	0	0	0	0	0	0
Y41E3.19	0	0.252	0	0	0	0.285	0	0	0	0	23.74	0	0	0	0	0	0	0	0	0	10.334	0	0	0	0	0	0
Y41E3.21	0	0	0	0.164	0	4.3125	0	0	0	0	0.444166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y41E3.459	0	0	0	0	0	0	0	0	0	0	10.1083333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y41E3.7	181.48	186.722	148.736	20.634	67.984	3.07833333333333	149.426	145.354	12.2472727272727	76.636	43.1766666666667	122.246	67.73	11.895	271.076666666667	90.66	152.54	0.115	57.275	30.72	0.768	14.8328571428571	168.804	227.058	159.458	266.342	162.195
Y41E3.8	111.752	90.142	115.148	90.416	157.448	34.0533333333333	100.162	149.08	83.8790909090909	94.66	46.8125	91.424	81.326	5.81666666666667	48.4816666666667	70.542	91.256	75.2575	0.376666666666667	95.258	38.498	44.0271428571429	96.814	119.664	83.496	41.982	84.065
Y41G9A.6	0	0	0	0.828	0	0	0	0	1.23181818181818	0	12.0683333333333	0	0	0	0	0.78	0	0	22.89	0	1.138	0	0	0	0	0	0
Y42A5A.4	0	0	0	0	0	0	0	0	0	10.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y42A5A.5	5.722	37.32	11.112	0	5.922	0	17.058	1.954	0.150909090909091	5.062	2.61916666666667	0.952	0	5.77333333333333	0	1.096	0.586	0.38	0	1.388	0	52.2985714285714	20.96	12.168	10.752	6.562	16.3583333333333
Y42A5A.9	0	0	0	0	0	0	0	0	0	0	4.06416666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y42G9A.2	0.17	2.16	0	0	0.554	0	0.472	1.302	0	0	0	0	19.626	0	0	0.764	0.544	0	0	1.458	0	1.68428571428571	1.278	3.86	0	0	40.8433333333333
Y42G9A.3	0	4.022	0.06	69.637	0	0	1.42	0	25.1727272727273	0.138	0	0.862	0	0.475	0.245	15.186	44.246	0	8.16333333333333	155.47	203.494	0	3.786	0	0	0	0
Y42H9AR.1	48.072	31.658	3.71	1.212	24.488	7.125	71.544	8.506	7.33454545454545	0.87	6.68666666666667	58.732	68.168	30.7433333333333	43.2483333333333	5.652	99.982	56.2075	3.47333333333333	8.434	77.932	13.3471428571429	43.452	35.396	32.83	33.15	70.395
Y42H9AR.2	0	0	0	0.229	0	0.1	0	0	0.218181818181818	0	9.0575	0	53.622	0.253333333333333	0	2.7	0	19.4625	1.51	0	69.256	1.04571428571429	0	3.202	0	0	0
Y42H9AR.4	55.55	70.576	47.314	70.883	45.02	46.7258333333333	96.656	55.688	43.0954545454545	216.58	11.43	53.672	80.672	148.103333333333	5.01166666666667	36.57	45.846	8.85	11.6283333333333	9.796	3.188	21.3857142857143	46.13	34.758	32.514	19.532	16.8466666666667
Y42H9AR.5	0	0	0	3.884	0	0	0	0	0	0.122	13.7408333333333	0	0	8.055	0	0.834	0	0	0.488333333333333	0	0	13.2642857142857	0.292	0	0	0	0
Y42H9B.3	304.484	377.436	294.322	280.965	352.888	183.775833333333	422.958	315.27	145.222727272727	478.306	457.034166666667	253.41	157.302	17.145	505.755	212.014	354.18	60.865	136.675	634.982	82.226	106.507142857143	382.742	307.74	205.294	294.01	184.2
Y42H9B.7	0	0	0	0	0	0	0	0	2.80181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y43B11AL.1	0.568	11.814	24.974	27.864	5.962	20.295	5.624	14.622	41.0472727272727	5.32	72.5466666666667	5.624	0	42.795	1.66333333333333	0	12.11	147.6	415.505	0.204	5.778	22.35	4.344	10.552	0.95	0	66.2233333333333
Y43B11AR.1	1.048	0	0	0	0.894	0.7225	0	0.628	29.0909090909091	1.7	3.11916666666667	1.792	3.064	0.178333333333333	0	0	0	0	0.208333333333333	0.236	0	0.16	6.662	0	0	0	0
Y43B11AR.3	8.38	6.838	0	0	35.656	0	1.836	1.904	12.5290909090909	40.722	14.005	41.116	15.834	0	0	0	0.482	0	3.43666666666667	0.478	0	0.405714285714286	8.334	0	0	0	0
Y43B11AR.7	0	0	0	0	4.924	0	0	16.854	22.8809090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y43D4A.6	0	23.152	96.898	6.647	59.91	2.90583333333333	10.62	26.302	12.2227272727273	94.382	29.6991666666667	0	0	6.18166666666667	0	0.156	101.904	0	0	18.016	0	7.32857142857143	0	0	0	0	0
Y43D4A.t1	0	0	0	2.05	0	0	0	0	0	0	0	0	0	0	0	0	1.388	0	0	0	0	0	0	0	0	0	0
Y43D4A.t2	0	0	0	0	0	0	0	0	19.7727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y43E12A.3	35.328	46.73	0.07	2.716	1.376	0	27.54	0.196	11.8327272727273	21.616	0	29.536	4.31	3.97	0	0	26.8	0	0	0	0.22	0	41.626	24.164	10.218	4.682	0
Y43F11A.6	0	0	0	0	0	0	0	0	0	0	0	0.082	15.5	0.555	0	0	0	0	0	0	7.654	0	0	0	0	0	0
Y43F4B.10	163.02	201.212	271.156	217.852	328.672	161.620833333333	206.688	303.968	235.43	333.954	237.260833333333	266.094	306.126	676.676666666667	98.6916666666667	246.258	149.424	94.995	138.803333333333	307.074	182.614	209.615714285714	206.786	157.95	158.238	96.92	169.586666666667
Y43F4B.5	64.932	10.668	0.858	9.045	0.182	0.106666666666667	12.832	4.166	1.41727272727273	0.644	2.84	22.906	7.106	0.115	2.63166666666667	0.128	39.354	92.1025	0.408333333333333	0	0.272	0.05	75.522	77.896	64.132	85.298	178.323333333333
Y43F4B.7	86.012	39.434	0.17	2.938	11.926	12.1733333333333	32.964	8.368	5.97454545454545	20.724	9.1625	93.442	18.128	1.505	13.84	11.496	54.574	0.655	4.55833333333333	8.828	25.982	3.96142857142857	102.136	75.504	99.026	19.9	27.1
Y43F4B.9	37.37	31.5	14.694	0.428	11.494	0	29.094	15.804	4.95818181818182	2.786	4.08666666666667	11.56	0.174	0	37.9416666666667	0	36.592	0	9.06333333333333	0.074	0	0.24	44.848	30.93	34.602	33.702	49.05
Y43F8A.5	0	4.984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y43F8B.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.09	0	0	0	0	22.94	0	0	0	0	0
Y43F8B.12	0	0	0	1.26	0	0	2.386	0	0	0	0	0	55.498	0	0	0	0	0	0	4.702	0	0	0	0	0	0	0
Y43F8B.2	38.762	46.816	42.116	119.793	50.142	38.3875	27.964	4.756	277.247272727273	0.826	57.3916666666667	52.864	137.902	61.6566666666667	0	3.96	51.446	90.4925	4.855	1.852	181.282	103.341428571429	31.328	113.606	19.714	0.286	24.9266666666667
Y43F8B.23	0	0	0.158	4.632	0	34.135	2.582	0	7.76363636363636	14.274	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0
Y43F8B.3	0	0	0	2.419	0	0	0	0.02	0	0	0	1.15	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0
Y43F8B.8	0	0	0	49.448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y43F8C.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.535	5.80333333333333	0	0	0	0	0	0	0	0
Y43F8C.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.546	76.1425	0	53.76	50.84	0	0.386	0	0	0	0
Y43F8C.3	0	0.22	0.094	0.02	0	0	0	0.57	0	0	0	0	0	0	0	0.78	0.04	0	0	7.318	0	0	0.27	0	0.102	0	16.5216666666667
Y43F8C.6	27.872	0	1.256	0.083	0	0	0.068	0	0.0409090909090909	0	2.76916666666667	0	0	4.35166666666667	0.216666666666667	0	1.978	0	0	0.144	0	0.05	3.19	27.766	0	0	0
Y43F8C.7	44.816	61.476	12.66	23.459	8.536	20.6391666666667	34.218	14.98	17.7490909090909	0	20.4258333333333	95.994	0	0.635	22.1516666666667	7.188	58.014	96.98	15.82	0.144	121.94	45.6042857142857	112.954	65.324	30.374	125.718	19.8383333333333
Y43F8C.8	47.976	52.052	16.344	0.552	4.304	9.67166666666667	24.404	71.36	4.64454545454545	40.35	10.8641666666667	39.138	4.976	0	0.221666666666667	21.742	37.624	12.11	0.496666666666667	9.688	1.558	121.728571428571	89.256	78.7	42.052	34.974	16.7133333333333
Y43F8C.9	7.586	1.232	2.934	0	0	1.42	0	21.174	0	0	0	8.262	16.442	0	40.2383333333333	0	0	0	0	49.962	0	0	0.262	4.946	0	0	0
Y43H11AL.1	189.85	210.408	250.448	127.239	152.524	226.540833333333	170.058	230.082	182.112727272727	110.598	120.025833333333	295.92	158.236	197.97	41.9583333333333	258.944	175.408	47.105	376.471666666667	185.902	158.924	65.3885714285714	159.748	148.882	160.652	102.042	53.1166666666667
Y43H11AL.2	5.906	11.244	9.052	0.437	17.62	7.915	11.03	49.872	0.0445454545454545	42.242	1.14333333333333	17.872	0	0	1.89666666666667	0.082	31.926	0	0.136666666666667	0.09	0.166	2.73428571428571	8.548	9.726	4.212	1.12	6.83
Y44A6C.1	30.512	39.616	23.808	11.566	38.432	0.793333333333333	29.738	38.582	9.22545454545455	1.544	3.11833333333333	209.81	2.648	28.0916666666667	104.026666666667	2.57	33.754	18.095	37.8316666666667	0.226	162.82	1.38142857142857	35.26	36.466	30.374	33.852	0.775
Y44A6C.2	0.32	1.51	379.102	742.542	384.704	813.086666666667	5.228	442.552	529.441818181818	509.632	548.5725	298.106	665.95	657.113333333333	22.7166666666667	381.532	142.478	71.43	97.0816666666667	197.036	925.034	337.005714285714	0.09	0.252	0	0.9	322.391666666667
Y44A6D.1	0	0.754	0	7.92	0	0.440833333333333	0.742	32.22	0	0	0	69.184	0	0.67	0	0	0	0	0	5.342	0	41.3428571428571	0	0	0	0	0
Y44E3A.1	1.648	1.258	4	0.124	3.702	0.323333333333333	0	5.794	0	14.754	4.875	3.842	0	0	0.566666666666667	0	3.768	0	30.945	0	0	0	1.354	0	1.996	2.008	0
Y44E3A.3	56.592	131.928	160.15	72.742	184.404	131.303333333333	115.83	178.382	144.252727272727	233.224	79.91	200.24	83.324	171.451666666667	58.5366666666667	138.014	85.034	22.225	111.085	263.51	8.406	123.307142857143	122.528	111.254	103.228	99.07	122.03
Y44E3A.4	1.602	11.142	0.492	0	10.338	0	0.878	18.514	0	9.604	0	0.47	0	0	0	15.264	0	0	0	0	0	0	0.258	0.256	0.454	0.072	0
Y44E3A.6	44.008	68.98	47.254	73.861	46.38	163.6875	46.294	62.504	80.5309090909091	45.8	120.978333333333	40.828	127.382	69.5716666666667	22.8133333333333	22.32	62.238	52.21	81.5766666666667	64.262	94.506	133.201428571429	28.396	34.252	18.79	8.792	12.1483333333333
Y44F5A.1	48.56	22.27	17.47	0.698	28.878	6.30166666666667	31.172	53.456	15.9427272727273	19.642	0	288.96	37.796	164.341666666667	101.335	178.7	72.114	29.4575	4.6	45.692	12.638	1.9	126.372	70.838	133.908	113.144	93.26
Y45F10A.3	5.536	0	3.328	0.172	12.296	0	0	0	0.123636363636364	0	1.26583333333333	0.616	0	0	0	10.434	0	0	2.54833333333333	0	1.994	30.6771428571429	0.066	0	0.454	0	0
Y45F10B.12	0	0	0	0.467	0.146	0.416666666666667	0	0	25.2336363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y45F10B.15	0	0	0	0	5.596	15.1716666666667	0	0.284	3.89636363636364	0	0	0	0	0	0	0	0	0	80.0716666666667	44.716	24.566	0	0	0	0	0.324	0
Y45F10B.59	0	0	18.276	5.559	0	1.18416666666667	0	30.45	18.91	0	0	0	0	65.7833333333333	0	0	0	0	173.07	0	0	0	0	0	0	0	0
Y45F10B.9	0	0	0	0	0	0	0	0	0	0	1.89	3.832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y45F10D.10	0	21.524	0	0	0.7	0.460833333333333	0	0	12.1390909090909	0.736	14.0216666666667	0.28	0	0	0	0	0	0	28.1716666666667	8.362	0.53	2.35428571428571	0.112	0	2.33	0	0
Y45F10D.14	0.116	10.666	0	0	0	0	0	0.054	0.401818181818182	0	0.0533333333333333	0	0	0	0	0	7.574	0	0	0	0	0	3.116	0	0	0	0
Y45F10D.16	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35833333333333	0	0	0	0	12.3466666666667	9.268	0	0	0	0	0	0	0
Y45F10D.2	0	0	0	31.16	0	0.0791666666666667	0	0	0	0	4.95583333333333	0	0	0.14	0	0	0	0.8275	0	0	0	0	0	0	0	0	0
Y45F10D.4	90.838	112.586	115.8	51.493	117.698	29.9608333333333	93.34	122.298	19.5009090909091	148.754	13.8016666666667	54.62	273.492	112.181666666667	78.3216666666667	160.972	63.56	1.5575	173.325	96.584	65.57	5.17	180.482	130.952	128.064	181.242	147.926666666667
Y45F10D.7	61.588	10.76	9.894	2.24	9.078	0.07	24.846	39.53	19.3263636363636	1.69	14.0416666666667	58.768	1.914	7.675	1.00333333333333	46.84	47.964	30.1825	18.26	18.154	23.702	0.591428571428571	79.032	95.094	45.022	19.848	0
Y45F3A.1	4.338	8.898	0	32.635	0	0	0	0	1.72	0	7.69833333333333	0	2.532	0	0	0.896	0	0	0	0	33.592	0	4.676	0.346	0	12.678	0.0833333333333333
Y45F3A.4	0	0	0	12.11	0	0	0	64.87	4.62727272727273	24.462	0	0	0.106	0	0	0	9.302	0	0	0	0	0	0	0	0	0	0.145
Y45F3A.9	10.918	20.226	16.98	1.913	8.64	1.72166666666667	6.812	10.586	2.76272727272727	0.384	0.196666666666667	0.162	0.276	1.17333333333333	12.7383333333333	11.02	1.974	0.1	1.66166666666667	14.248	0.204	0.155714285714286	4.666	5.438	5.352	2.272	5.375
Y45G12B.2	60.616	81.104	72.994	8.893	16.564	16.155	74.562	84.7	7.13363636363636	53.854	14.3883333333333	22.09	1.318	0	208.91	8.974	59.614	0	0.146666666666667	83.84	12.358	21.8157142857143	72.264	37.822	31.126	32.712	117.06
Y45G12B.3	21.144	2.86	0	0.056	2.436	0.9325	0	13.508	0	0	0	0.102	3.15	0	0	0	1.922	0	0	0.378	3.77	0.544285714285714	6.106	4.502	12.56	34.548	3.45833333333333
Y45G5AL.1	132.632	190.172	198.822	123.232	182.426	117.789166666667	154.594	186.492	119.21	241.804	84.4833333333333	179.552	72.504	61.4033333333333	172.016666666667	111.554	108.258	11.5725	97.1766666666667	43.68	78.43	187.165714285714	93.692	125.112	166.956	121.84	337.23
Y45G5AM.2	52.734	23.124	22.478	22.496	4.436	13.8741666666667	26.562	11.566	4.41636363636364	7.682	9.84	5.028	5.904	0	0.361666666666667	0.232	22.69	0	7.43666666666667	1.082	0.07	0.04	34.498	57.846	10.63	5.824	0
Y45G5AM.3	3.452	2.196	0.82	0	0.096	1.98833333333333	1.544	2.454	13.8927272727273	5.364	3.2475	4.054	0	0.205	0	0	0.73	0	0	0	0.902	4.22142857142857	4.268	3.324	2.864	0	8.10666666666667
Y45G5AM.5	0	0	214.762	398.323	122.552	325.211666666667	0	14.89	373.937272727273	49.804	308.3225	0	0	106.785	0	0	0	60.2025	205.538333333333	3.506	146.208	233.595714285714	0	0	0	0.516	0.218333333333333
Y45G5AM.6	6.77	3.898	0	0.04	0	17.5358333333333	7.872	2.08	10.6963636363636	0.714	0	0	0	0	0	0.292	0.088	0	1.065	0	0.098	0	0.542	8.124	5.49	71.25	38.6133333333333
Y45G5AM.7	196.756	212.778	207.92	221.901	234.53	353.5325	239.374	148.318	209.525454545455	147.846	227.7825	189.522	166.714	202.228333333333	122.843333333333	217.416	217.012	141.5575	60.2683333333333	216.91	389.08	120.985714285714	107.274	245.624	205.47	231.216	346.083333333333
Y45G5AM.9	152.592	114.042	2.812	7.623	40.952	40.9608333333333	176.88	63.43	2.64545454545455	3.182	15.22	55.572	2.202	8.49666666666667	44.3633333333333	53.29	109.338	0.2	1.13333333333333	26.19	0.218	13.0628571428571	101.308	123.072	147.082	49.43	119.028333333333
Y46C8AL.11	0	0	0	3.647	0	36.8458333333333	0	0	0	0	6.97916666666667	0	0	8.24	0	0	0	0	0	0	2.912	0	0	0	0	0	0
Y46D2A.3	0	0	0	0	0	0	23.644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y46E12BL.2	20.656	10.966	2.254	13.922	17.158	2.7175	44.822	7.568	7.00545454545454	34.468	0.831666666666667	20.64	1.222	46.77	0.0833333333333333	14.616	16.478	12.825	15.255	2.056	81.268	1.82714285714286	22.73	30.85	14.112	21.746	1.08
Y46G5A.15	4.77	3.882	4.788	0.703	3.172	19.9866666666667	3.172	6.602	13.8036363636364	0	4.36166666666667	7.666	0	0	0.38	1.422	7.156	0	0	20.628	0	0	6.456	3.88	2.078	0	0
Y46G5A.18	40.492	19.29	22.104	0.341	15.582	2.14333333333333	22.754	26.984	2.07636363636364	0	0.495	0	0	0	0.101666666666667	2.322	29.31	0.61	2.36333333333333	0.296	0.316	0.0671428571428571	38.184	56.538	53.228	22.742	14.96
Y46G5A.19	1.904	0	0	16.946	0.42	0	0	0.134	3.14272727272727	0	0	0	0	0	0	0	0.594	1.255	0	0	0	0	0	0	2.162	0	0
Y46G5A.2	0.798	0.1	0.138	1.67	0	3.81416666666667	1.776	0.134	0	0	0.683333333333333	1.06	0	0	1.58666666666667	0	0.348	0	0.0833333333333333	0	0	0	0.264	0.23	0.262	1.22	0.253333333333333
Y46G5A.28	0	34.594	204.612	484.311	255.114	392.448333333333	2.466	261.722	493.209090909091	420.788	481.140833333333	235.674	509.82	829.601666666667	1.45666666666667	469.166	142.352	204.835	590.555	219.032	571.028	404.321428571429	0.236	0.09	0	0.548	131.73
Y46G5A.29	0	0.044	0	2.535	1.892	6.37083333333333	0	0	0	0	8.13	0	0.034	0.04	0	11.59	1.244	0	0	0	0	0	0.024	0.142	0	0	0
Y46G5A.34	14.61	0.982	1.11	0	37.828	11.1733333333333	1.688	1.814	0	10.716	16.5758333333333	1.984	0	5.93166666666667	0	0	2.916	42.4325	93.1133333333333	34.222	1.542	11.5914285714286	13.644	3.574	7.686	0	0
Y46G5A.35	53.356	36.11	8.716	11.345	14.756	28.7041666666667	33.63	15.01	2.24454545454545	29.706	0	11.718	0	53.7083333333333	6.8	139.368	16.594	0	0	2.788	6.732	0	47.702	23.834	45.502	2.356	4.56666666666667
Y46G5A.39	0	0	0	16.656	0	0.0483333333333333	0	0	10.6027272727273	0	22.3733333333333	0	64.676	0	0	0.142	0	0	0.208333333333333	0	0	31.9642857142857	0	0	0	0	0
Y46G5A.4	15.07	17.138	16.256	29.481	19.172	32.8758333333333	21.396	26.18	21.83	28.712	32.1558333333333	19.134	0.172	33.3616666666667	1.045	22.206	17.098	26.0125	24.4433333333333	12.602	60.11	25.0214285714286	10.03	11.636	4.874	3.878	23.1266666666667
Y46G5A.40	3.452	10.744	37.726	0	8.276	0	0.704	0	0	4.728	1.66166666666667	3.84	0	0	10.89	0	0	0	0	0	0	0	0.43	0	1.312	0	8.19333333333333
Y46G5A.42	0	0	0	0.21	0	0	0	0	0	0	45.8175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y46G5A.7	4.692	9.676	316.536	416.284	104.646	240.3	0.582	143.716	260.55	82.296	487.489166666667	34.218	202.816	193.596666666667	12.1116666666667	199.412	11.954	143.8175	423.823333333333	191.41	335.764	175.688571428571	16.606	0	0.116	0.154	123.593333333333
Y46G5A.8	159.164	118.606	330.128	261.772	192.318	320.526666666667	91.314	141.386	269.382727272727	219.444	369.6275	76.98	387.432	451.59	2.355	350.264	200.044	10.9325	1.56666666666667	126.728	575.678	1085.62428571429	189.116	191.472	89.49	0	47.3133333333333
