AB	ABa	ABal	ABalx	ABar	ABarx	ABp	ABpl	ABplx	ABpr	ABprx	C	Cx1	Cx2	D	E	EMS	Ea	Ep	MS	MSx1	MSx2	P0	P1	P2	P3	P4
B0041.3	17.154	43.618	17.21	2.021	32.376	2.6825	32.734	20.474	2.94818181818182	35.486	4.1725	0	0	0	2.34	20.504	17.666	2.7675	2.45	0	0.212	0	32.242	15.84	39.174	44.65	0
B0041.5	184.574	205.424	93.052	2.711	130.878	6.7775	272.036	148.342	15.1409090909091	139.248	69.5491666666667	125.386	67.756	26.8066666666667	10.17	24.518	137.108	0	2.84333333333333	153.286	0.264	0.178571428571429	187.13	176.918	128.018	92.496	161.601666666667
B0041.8	423.546	410.288	528.91	377.39	395.67	282.905833333333	574.87	507.806	232.166363636364	450.206	247.9925	436.408	372.256	90.37	362.096666666667	526.24	462.7	66.6975	481.97	445.486	310.89	170.411428571429	506.816	420.036	442.462	467.502	809.011666666667
B0198.2	0.364	0	0	0	0.998	0	0	13.708	0	0	0.0408333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0205.1	122.838	98.7	84.328	41.244	133.576	85.5725	99.168	140.64	138.150909090909	125.856	103.88	131.496	42.296	42.3333333333333	119.666666666667	89.99	72.772	9.2775	77.1833333333333	81.074	69.13	49.0271428571429	65.152	71.706	137.084	66.24	85.5283333333333
B0205.11	124.988	121.126	110.106	34.278	63.192	51.3408333333333	91.776	94.904	36.2718181818182	75.4	17.4916666666667	126.302	18.242	144.933333333333	16.4466666666667	30.362	125.542	50.065	49.7933333333333	364.86	0.26	30.5757142857143	138.452	119.79	77.19	31.24	20.5766666666667
B0205.12	3.496	11.214	3.216	0	3.494	9.9725	7.64	14.448	1.46909090909091	0	6.99416666666667	1.39	12.508	17.62	307.738333333333	11.012	9.592	0	15.0116666666667	41.368	7.292	0	27.212	6.97	3.55	7.058	0.671666666666667
B0205.14	0	6.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0205.5	0	0	0	0	0	0	0	0	0	0	0	0	0	42.61	0	0	0	0	0	0	0	0	0.556	0	0	0	0
B0205.6	57.364	27.572	3.436	0.394	26.624	3.9525	59.636	60.496	12.73	1.812	6.28333333333333	85.906	0	0.176666666666667	0	58.738	68.066	0	69.5966666666667	27.466	13.34	8.03428571428571	63.456	18.3	72.762	1.244	0.386666666666667
B0205.8	68.698	100.39	153.43	156.242	161.646	197.099166666667	121.748	157.202	244.318181818182	135.086	170.593333333333	190.258	50.014	107.68	266.475	118.32	71.64	29.29	102.523333333333	169.632	106.154	82.4885714285714	134.434	72.97	92.764	52.576	54.4166666666667
B0205.9	118.536	156.146	83.196	117.534	152.72	33.9066666666667	107.498	97.374	53.9663636363636	52.198	41.8458333333333	140.458	109.374	78.045	7.375	86.752	104.674	73.1375	35.475	45.768	46.926	30.8585714285714	113.216	113.602	111.696	52.182	137.528333333333
B0207.2	1.35	18.664	2.274	0	0	0	0	0	0	0	0	48.654	0	0	0	0.178	4.624	0	0	0	0	0	3.252	3.544	29.12	0	0
