"gene","cluster"
"176292","0"
"172945","0"
"173427","0"
"174022","0"
"174153","0"
"176205","0"
"181917","0"
"175972","0"
"177744","0"
"177924","0"
"179042","0"
"174380","0"
"177902","0"
"6418857","0"
"179762","0"
"180486","0"
"172330","0"
"179643","0"
"187843","0"
"172661","0"
"175634","0"
"13197147","0"
"172301","0"
"173848","0"
"176907","0"
"173978","0"
"178506","0"
"172704","0"
"3565341","0"
"175492","0"
"179033","0"
"177797","0"
"171633","0"
"178887","0"
"181223","0"
"175730","0"
"179115","0"
"172432","0"
"190137","0"
"174659","0"
"176180","0"
"180705","0"
"176251","0"
"174038","0"
"181566","0"
"174589","0"
"173537","0"
"174122","0"
"177283","0"
"176943","0"
"179275","0"
"176958","0"
"259501","0"
"177040","0"
"173299","0"
"173863","0"
"182681","0"
"173517","0"
"171922","0"
"178081","0"
"183243","0"
"173193","0"
"179162","0"
"176078","0"
"177509","0"
"179246","0"
"179212","0"
"191744","0"
"178979","0"
"173926","0"
"175129","0"
"173217","0"
"180073","0"
"173701","0"
"173333","0"
"180976","0"
"175555","0"
"173257","0"
"172514","0"
"177990","0"
"172064","0"
"171752","0"
"178184","0"
"175844","0"
"180628","0"
"174975","0"
"174473","0"
"173894","0"
"177398","0"
"180749","0"
"176196","0"
"181097","0"
"174914","0"
"173696","0"
"266836","0"
"179853","0"
"173468","0"
"184450","0"
"174270","0"
"173365","0"
"181248","0"
"180074","0"
"172233","0"
"177521","0"
"177824","0"
"175838","0"
"259329","0"
"184677","0"
"171829","0"
"173500","0"
"181153","0"
"179770","0"
"178108","0"
"3565206","0"
"178482","0"
"172597","0"
"178847","0"
"176957","0"
"175393","0"
"179898","0"
"175556","0"
"178346","0"
"173836","0"
"175861","0"
"179324","0"
"172680","0"
"174685","0"
"175056","0"
"179361","0"
"171988","0"
"177215","0"
"177213","0"
"176508","0"
"173006","0"
"178835","0"
"179013","0"
"177287","0"
"180072","0"
"183431","0"
"178783","0"
"177530","0"
"176134","0"
"176173","0"
"24104925","0"
"179172","0"
"172521","0"
"178728","0"
"174422","0"
"180690","0"
"180699","0"
"188574","0"
"174713","0"
"174614","0"
"176418","0"
"178196","0"
"172881","0"
"175066","0"
"179254","0"
"174974","0"
"191404","0"
"181531","0"
"174093","0"
"174590","0"
"177622","0"
"178777","0"
"174620","0"
"172568","0"
"171997","0"
"175434","0"
"174394","0"
"180848","0"
"181517","0"
"190096","0"
"175603","0"
"179171","0"
"266824","0"
"176128","0"
"36805052","0"
"181441","0"
"172253","0"
"180824","0"
"24104459","0"
"179211","0"
"175878","0"
"175231","0"
"181206","0"
"181504","0"
"173332","0"
"188556","0"
"171877","0"
"173795","0"
"174743","0"
"177666","0"
"3565470","0"
"13196550","0"
"180287","0"
"179445","0"
"175281","0"
"178756","0"
"180418","0"
"175919","0"
"3565272","0"
"176320","0"
"180730","0"
"172368","0"
"172032","0"
"179720","0"
"177340","0"
"180324","0"
"176066","0"
"176285","0"
"172652","0"
"176966","0"
"172381","0"
"180725","0"
"175818","0"
"177528","0"
"177617","0"
"172018","0"
"174460","0"
"3565010","0"
"179342","0"
"180923","0"
"3565254","0"
"179779","0"
"177011","0"
"174378","0"
"259497","0"
"172477","0"
"178042","0"
"3564797","0"
"177393","0"
"190601","0"
"180664","0"
"174111","0"
"176672","0"
"173702","0"
"180111","0"
"174127","0"
"175668","0"
"176500","0"
"174430","0"
"178079","0"
"179551","0"
"177491","0"
"174265","0"
"177749","0"
"171622","0"
"3565679","0"
"171897","0"
"181205","0"
"259393","0"
"181108","0"
"176673","0"
"176422","0"
"176009","0"
"172249","0"
"173442","0"
"172651","0"
"176053","0"
"266830","0"
"171970","0"
"179721","0"
"259544","0"
"172961","0"
"181311","0"
"179436","0"
"180482","0"
"176742","0"
"177696","0"
"181283","0"
"176544","0"
"181603","0"
"3565515","0"
"172574","0"
"181773","0"
"172649","0"
"173453","0"
"266841","0"
"172628","0"
"3565059","0"
"178452","0"
"181003","0"
"180014","0"
"174569","0"
"183940","0"
"179111","0"
"172730","0"
"177181","0"
"173602","0"
"171942","0"
"3565961","0"
"173793","0"
"175659","0"
"175112","0"
"174350","0"
"176817","0"
"180708","0"
"174225","0"
"173312","0"
"172902","0"
"173129","0"
"176287","0"
"178544","0"
"3565873","0"
"172509","0"
"179732","0"
"179209","0"
"177580","0"
"174419","0"
"174503","0"
"179509","0"
"176490","0"
"174238","0"
"175953","0"
"178316","0"
"176847","0"
"3564944","0"
"177325","0"
"180392","0"
"180123","0"
"179597","0"
"177875","0"
"176625","0"
"174788","0"
"172823","0"
"180827","0"
"174293","0"
"173339","0"
"172028","0"
"179399","0"
"172335","0"
"181463","0"
"173906","0"
"181578","0"
"181202","0"
"180262","0"
"24104220","0"
"181379","0"
"177374","0"
"179916","0"
"181413","0"
"179384","0"
"172737","0"
"190098","0"
"180823","0"
"176614","0"
"175715","0"
"187809","0"
"173228","0"
"172938","0"
"177052","0"
"184879","0"
"179875","0"
"176187","0"
"175738","0"
"174469","0"
"174798","0"
"172224","0"
"179876","0"
"179967","0"
"174246","0"
"174479","0"
"178933","0"
"172264","0"
"178398","0"
"177709","0"
"266878","0"
"178082","0"
"172783","0"
"176755","0"
"181334","0"
"177807","0"
"172402","0"
"176133","0"
"171810","0"
"176802","0"
"3565539","0"
"172145","0"
"180522","0"
"180988","0"
"179714","0"
"191734","0"
"179163","0"
"177710","0"
"181241","0"
"172896","0"
"179535","0"
"174295","0"
"181055","0"
"172864","0"
"176218","0"
"177471","0"
"180734","0"
"179538","0"
"177819","0"
"183844","0"
"180472","0"
"179411","0"
"180637","0"
"181255","0"
"176368","0"
"176461","0"
"175249","0"
"176885","0"
"173953","0"
"173810","0"
"176374","0"
"181556","0"
"178327","0"
"177561","0"
"175718","0"
"172138","0"
"174437","0"
"176497","0"
"179400","0"
"180465","0"
"175592","0"
"3565198","0"
"174151","0"
"173475","0"
"188082","0"
"174323","0"
"180016","0"
"176657","0"
"178846","0"
"173747","0"
"171617","0"
"175092","0"
"174067","0"
"190814","0"
"179582","0"
"175837","0"
"172234","0"
"186116","0"
"177538","0"
"190705","0"
"172373","0"
"171696","0"
"172398","0"
"180370","0"
"176426","0"
"180836","0"
"180354","0"
"187898","0"
"172981","0"
"191004","0"
"172523","0"
"175357","0"
"171628","0"
"176254","0"
"171706","0"
"174399","0"
"174752","0"
"187585","0"
"181439","0"
"180720","0"
"181182","0"
"188457","0"
"180655","0"
"189346","0"
"177848","0"
"175443","0"
"3565237","0"
"177473","0"
"181073","0"
"176152","0"
"186194","0"
"179161","0"
"174715","0"
"175091","0"
"180873","0"
"172552","0"
"173051","0"
"172596","0"
"176391","0"
"184363","0"
"174244","0"
"175432","0"
"174765","0"
"179610","0"
"171774","0"
"6418712","0"
"176864","0"
"181234","0"
"177965","0"
"182077","0"
"173305","0"
"184341","0"
"176375","0"
"190675","0"
"177458","0"
"171981","0"
"176143","0"
"176019","0"
"181301","0"
"172889","0"
"175697","0"
"189113","0"
"177753","0"
"177345","0"
"259340","0"
"172372","0"
"185153","0"
"172677","0"
"172729","0"
"179660","0"
"176638","0"
"172039","0"
"176615","0"
"178831","0"
"172595","0"
"180747","0"
"178321","0"
"180435","0"
"172633","0"
"173188","0"
"175739","0"
"178291","0"
"174834","0"
"178868","0"
"181021","0"
"180311","0"
"3564874","0"
"177557","0"
"181520","0"
"178645","0"
"180256","0"
"177615","0"
"177879","0"
"171762","0"
"174118","0"
"173536","0"
"181689","0"
"178468","0"
"175670","0"
"175662","0"
"177097","0"
"178814","0"
"182630","0"
"175467","0"
"171769","0"
"172312","0"
"175059","0"
"174440","0"
"178056","0"
"176924","0"
"176158","0"
"178069","0"
"179313","0"
"175822","0"
"172594","0"
"176247","0"
"176138","0"
"175307","0"
"186891","0"
"179948","0"
"180344","0"
"180610","0"
"178322","0"
"259466","0"
"175540","0"
"174450","0"
"176145","0"
"178486","0"
"179965","0"
"176617","0"
"4363046","0"
"178016","0"
"259649","0"
"179036","0"
"172860","0"
"177836","0"
"184760","0"
"184951","0"
"180462","0"
"174778","0"
"174358","0"
"181231","0"
"172979","0"
"175983","0"
"177389","0"
"176552","0"
"175040","0"
"181011","0"
"191420","0"
"179585","0"
"173317","0"
"188792","0"
"181649","0"
"174477","0"
"181464","0"
"178546","0"
"175175","0"
"174004","0"
"176464","0"
"175829","0"
"172247","0"
"36805069","0"
"179749","0"
"187840","0"
"180745","0"
"176841","0"
"173774","0"
"259490","0"
"3564983","0"
"174198","0"
"173990","0"
"353411","0"
"3565368","0"
"172180","0"
"179426","0"
"174753","0"
"175841","0"
"174986","0"
"179964","0"
"188606","0"
"171954","0"
"189617","0"
"174449","0"
"179801","0"
"171677","0"
"191731","0"
"175800","0"
"174785","0"
"174635","0"
"173769","0"
"172218","0"
"176967","0"
"189507","0"
"172344","0"
"181001","0"
"171723","0"
"173680","0"
"176506","0"
"175672","0"
"175751","0"
"177816","0"
"178052","0"
"175423","0"
"177804","0"
"13222514","0"
"4363068","0"
"172718","0"
"172986","0"
"175209","0"
"179724","0"
"174842","0"
"179072","0"
"177169","0"
"185802","0"
"173955","0"
"6418594","0"
"182484","0"
"173175","0"
"175944","0"
"176445","0"
"175117","0"
"175832","0"
"180578","0"
"181557","0"
"174827","0"
"187532","0"
"173393","0"
"175712","0"
"179568","0"
"175993","0"
"176536","0"
"172155","0"
"172479","0"
"179970","0"
"172888","0"
"180011","0"
"179103","0"
"174633","0"
"172749","0"
"171934","0"
"177969","0"
"172296","0"
"180464","0"
"180575","0"
"173338","0"
"177433","0"
"174622","0"
"178964","0"
"180398","0"
"181488","0"
"7040138","0"
"179410","0"
"185547","0"
"176892","0"
"177873","0"
"174467","0"
"176587","0"
"172468","0"
"176928","0"
"175071","0"
"172611","0"
"179109","0"
"175577","0"
"179331","0"
"172146","0"
"176211","0"
"172123","0"
"174146","0"
"179683","0"
"174216","0"
"175858","0"
"171896","0"
"183857","0"
"181184","0"
"181402","0"
"177161","0"
"177237","0"
"3565706","0"
"176245","0"
"179550","0"
"174417","0"
"178287","0"
"177897","0"
"177543","0"
"180721","0"
"178988","0"
"175850","0"
"178463","0"
"181743","0"
"174433","0"
"180689","0"
"177738","0"
"3565068","0"
"176115","0"
"178416","0"
"177536","0"
"180700","0"
"185322","0"
"180473","0"
"174724","0"
"175726","0"
"176493","0"
"176322","0"
"177913","0"
"180614","0"
"178842","0"
"174984","0"
"176479","0"
"172757","0"
"24104625","0"
"172258","0"
"181090","0"
"175239","0"
"175243","0"
"176352","0"
"183911","0"
"173068","0"
"175655","0"
"174369","0"
"171755","0"
"186807","0"
"176815","0"
"172905","0"
"178217","0"
"178535","0"
"172413","0"
"180553","0"
"174751","0"
"178734","0"
"179483","0"
"181662","0"
"179096","0"
"172536","0"
"4927063","0"
"179678","0"
"181729","0"
"176684","0"
"3565947","0"
"173518","0"
"180801","0"
"178236","0"
"181120","0"
"179300","0"
"173440","0"
"176827","0"
"174362","0"
"173809","0"
"172916","0"
"173852","0"
"176438","0"
"177716","0"
"177057","0"
"179343","0"
"175532","0"
"175407","0"
"181704","0"
"176927","0"
"175642","0"
"181027","0"
"173238","0"
"3565110","0"
"177618","0"
"185814","0"
"174052","0"
"179052","0"
"3896896","0"
"4927018","0"
"3564966","0"
"178791","0"
"172735","0"
"178432","0"
"177002","0"
"178802","0"
"174044","0"
"176215","0"
"178972","0"
"175285","0"
"172215","0"
"259528","0"
"176836","0"
"174606","0"
"175298","0"
"187087","0"
"176509","0"
"180125","0"
"174823","0"
"179330","0"
"175035","0"
"3565867","0"
"174451","0"
"173496","0"
"176317","0"
"178596","0"
"176653","0"
"179095","0"
"178046","0"
"173940","0"
"173078","0"
"179990","0"
"175745","0"
"173520","0"
"171722","0"
"172966","0"
"178823","0"
"176278","0"
"4927052","0"
"177202","0"
"177976","0"
"189783","0"
"172044","0"
"174048","0"
"173162","0"
"180406","0"
"176874","0"
"3565509","0"
"173220","0"
"173796","0"
"184242","0"
"179589","0"
"3565269","0"
"176197","0"
"3565469","0"
"176555","0"
"178692","0"
"177597","0"
"173249","0"
"172221","0"
"175703","0"
"178288","0"
"181851","0"
"180931","0"
"175598","0"
"171884","0"
