"SYMBOL","ENTREZID"
"lmn-1","172687"
"swsn-7","174286"
"pgp-2","172262"
"ech-4","174665"
"cebp-2","172319"
"pcbd-1","188368"
"egal-1","177352"
"clec-17","173111"
"Y54E10A.10","171892"
"C06A5.3","172274"
"atg-13","176150"
"par-3","175783"
"ppm-2","175610"
"gut-2","179833"
"T19A6.1","172623"
"cct-6","175819"
"C24G6.8","178937"
"wrb-1","178617"
"K10C3.4","187255"
"C16C10.4","175534"
"T06E6.1","180039"
"coa-4","177761"
"mthf-1","174254"
"T12G3.2","178140"
"mog-5","173920"
"cdc-48.1","174624"
"ubc-7","176363"
"epg-8","172847"
"lin-53","172802"
"tlf-1","172676"
"daf-15","177770"
"T28C6.7","177697"
"seip-1","259621"
"rpoa-12","182648"
"nsy-1","24104671"
"mrpl-38","171682"
"pas-3","172139"
"F08F8.9","176045"
"ent-1","178097"
"knl-2","172350"
"ZK1320.11","174523"
"his-6","191668"
"F37A4.2","175947"
"E02H1.1","183993"
"stau-1","180455"
"pen-2","176565"
"prx-19","176239"
"B0495.9","174247"
"Y54G11A.17","13187936"
"rde-12","179855"
"cel-1","172814"
"gly-7","178661"
"B0228.7","174252"
"riok-2","173322"
"sluh-7","179443"
"C02F5.3","176163"
"his-63","184804"
"Y46G5A.8","174905"
"his-7","191669"
"T05A12.3","177452"
"ddx-27","171743"
"pop-1","171849"
"ebax-1","177915"
"EEED8.15","173924"
"dnj-11","177419"
"K07F5.14","177837"
"plpp-1.1","173734"
"F10E9.4","184304"
"rpac-19","176362"
"acin-1","172030"
"rab-8","171935"
"F26E4.7","172829"
"abtm-1","171807"
"nath-10","172182"
"him-1","172116"
"unc-112","179972"
"par-1","179912"
"fzr-1","174516"
"ifet-1","175583"
"apg-1","173304"
"rpoa-2","172752"
"cki-1","174260"
"hda-1","179959"
"snrp-40.1","181319"
"R107.5","176279"
"cdc-37","173449"
"ZC262.2","191130"
"pcca-1","181026"
"B0285.3","175560"
"C27F2.9","175673"
"ubl-5","185872"
"R186.8","3565661"
"Y54H5A.2","175699"
"gei-6","179114"
"Y48B6A.1","175069"
"K11G12.6","180941"
"ZK512.2","176292"
"F25H2.12","172945"
"C03H5.3","173427"
"C29H12.2","174022"
"ZK1127.4","174153"
"C06E1.1","176205"
"mrpl-11","181917"
"rpn-6.1","175972"
"C46C2.2","177744"
"sir-2.1","177924"
"F46E10.2","179042"
"suf-1","174380"
"tram-1","177902"
"F59C12.4","6418857"
"C44H9.7","179762"
"dhs-25","180486"
"hrpk-1","172330"
"cyl-1","179643"
"mrps-6","187843"
"mfap-1","172661"
"mel-28","175634"
"C33D9.13","13197147"
"T09B4.8","172301"
"aagr-2","173848"
"F56B3.11","176907"
"lect-2","173978"
"clec-196","178506"
"tgs-1","172704"
"Y39G8B.9","3565341"
"dpy-27","175492"
"unc-83","179033"
"amph-1","177797"
"otub-2","171633"
"tam-1","178887"
"W07E11.1","181223"
"mog-3","175730"
