Sequence_Name	WormBase_Gene_ID	Public_Name	Other_Name	cluster_set	RBP_assoc
T07E3.2	WBGene00020313	T07E3.2	CELE_T07E3.2	2	NA
T07E3.3	WBGene00020314	T07E3.3	CELE_T07E3.3	3	SPN4
T07E3.4	WBGene00020315	T07E3.4	CELE_T07E3.4	1	NA
T07F10.3	WBGene00011589	T07F10.3	CELE_T07F10.3	4	NA
T07F10.5	WBGene00011591	T07F10.5	CELE_T07F10.5	2	NA
T07F12.1	WBGene00020321	T07F12.1	CELE_T07F12.1	2	NA
T07F12.2	WBGene00020322	T07F12.2	CELE_T07F12.2	3	NA
T07F8.1	WBGene00020318	T07F8.1	CELE_T07F8.1	2	NA
T07F8.2	WBGene00020319	npr-31	CELE_T07F8.2	2	NA
T07F8.4	WBGene00020320	T07F8.4	CELE_T07F8.4	1	NA
T07G12.2	WBGene00011593	T07G12.2	CELE_T07G12.2	2	NA
T07G12.8	WBGene00011599	T07G12.8	CELE_T07G12.8	1	NA
T07H3.9	WBGene00201668	T07H3.9	CELE_T07H3.9	2	NA
T08A11.1	WBGene00011604	depd-5	CELE_T08A11.1	3	NA
T08A11.2	WBGene00011605	sftb-1	phi-11,	1	NA
T08A9.6	WBGene00020338	T08A9.6	CELE_T08A9.6	2	NA
T08B1.4	WBGene00020341	T08B1.4	CELE_T08B1.4	2	NA
T08B1.8	WBGene00197537	T08B1.8	CELE_T08B1.8	2	NA
T08B2.11	WBGene00020349	T08B2.11	CELE_T08B2.11	2	NA
T08B2.5	WBGene00020346	rbm-5	CELE_T08B2.5	4	NA
T08B2.7	WBGene00020347	ech-1.2	CELE_T08B2.7	1	NA
T08B2.8	WBGene00020348	mrpl-23	CELE_T08B2.8	2	NA
T08B6.1	WBGene00020351	T08B6.1	CELE_T08B6.1	4	NA
T08B6.5	WBGene00020354	sgnh-1	CELE_T08B6.5	4	other_RBP
T08D2.1	WBGene00011606	tmed-12	CELE_T08D2.1	4	NA
T08D2.6	WBGene00011611	T08D2.6	CELE_T08D2.6	2	other_RBP
T08D2.7	WBGene00011612	chkr-1	CELE_T08D2.7	2	SPN4
T08D2.9	WBGene00044700	T08D2.9	CELE_T08D2.9	2	NA
T08G11.1	WBGene00011629	vps-13A	vps-13,	3	NA
T08G11.4	WBGene00011631	tgs-1	CELE_T08G11.4	5	NA
T08G2.4	WBGene00195765	T08G2.4	CELE_T08G2.4	2	NA
T08G3.11	WBGene00011620	T08G3.11	CELE_T08G3.11	2	NA
T08G3.7	WBGene00011619	T08G3.7	CELE_T08G3.7	2	NA
T08G5.1	WBGene00011622	T08G5.1	CELE_T08G5.1	2	NA
T08G5.15	WBGene00077573	T08G5.15	CELE_T08G5.15	2	NA
T08G5.16	WBGene00077574	T08G5.16	CELE_T08G5.16	2	NA
T08G5.2	WBGene00011623	T08G5.2	CELE_T08G5.2	2	NA
T08G5.3	WBGene00011624	T08G5.3	CELE_T08G5.3	4	NA
T08G5.4	WBGene00014834	T08G5.4	CELE_T08G5.4	2	NA
T08H10.3	WBGene00020370	T08H10.3	CELE_T08H10.3	2	NA
T08H10.4	WBGene00020371	oac-60	CELE_T08H10.4	2	NA
T09A12.2	WBGene00020373	gpx-6	CELE_T09A12.2	2	NA
T09A12.5	WBGene00020374	serp-1.2	T09A12.d,	2	other_RBP
T09A5.15	WBGene00011641	T09A5.15	CELE_T09A5.15	3	NA
T09A5.4	WBGene00011633	T09A5.4	CELE_T09A5.4	2	NA
T09A5.5	WBGene00011634	T09A5.5	CELE_T09A5.5	3	NA
T09A5.7	WBGene00011635	mdmh-35	2I146,	3	NA
T09A5.8	WBGene00011636	cec-3	eap-1,	4	NA
T09A5.9	WBGene00011637	sds-22	szy-6,	3	NA
T09B4.1	WBGene00020375	pigv-1	mal-3,	1	NA
T09B4.2	WBGene00020376	T09B4.2	CELE_T09B4.2	3	NA
T09B4.4	WBGene00020378	T09B4.4	CELE_T09B4.4	2	NA
T09B4.5	WBGene00020379	T09B4.5	CELE_T09B4.5	4	other_RBP
T09B4.8	WBGene00020382	T09B4.8	CELE_T09B4.8	1	NA
T09B4.9	WBGene00020383	tin-44	let-602,	5	SPN4
T09B9.1	WBGene00011642	T09B9.1	CELE_T09B9.1	3	other_RBP
T09B9.2	WBGene00011643	slc-17.9	droe-5,	2	NA
T09B9.4	WBGene00011645	T09B9.4	CELE_T09B9.4	3	SPN4
T09B9.8	WBGene00201408	T09B9.8	CELE_T09B9.8	2	NA
T09E8.1	WBGene00011647	noca-1	CELE_T09E8.1	3	NA
T09E8.3	WBGene00011648	cni-1	cnih-2,	3	NA
T09F3.2	WBGene00011662	T09F3.2	CELE_T09F3.2	5	NA
T09F3.4	WBGene00011663	T09F3.4	CELE_T09F3.4	5	NA
T09F3.5	WBGene00011664	T09F3.5	CELE_T09F3.5	3	NA
T09F5.10	WBGene00011669	T09F5.10	CELE_T09F5.10	2	NA
T09F5.12	WBGene00014836	T09F5.12	CELE_T09F5.12	4	NA
T10A3.5	WBGene00201334	T10A3.5	CELE_T10A3.5	2	NA
T10B10.3	WBGene00011680	pkhm-2	CELE_T10B10.3	1	SPN4
T10B10.4	WBGene00011681	T10B10.4	CELE_T10B10.4	2	other_RBP
T10B10.8	WBGene00011684	T10B10.8	CELE_T10B10.8	2	NA
T10B11.10	WBGene00197457	T10B11.10	CELE_T10B11.10	2	NA
T10B11.2	WBGene00020398	cerk-1	CELE_T10B11.2	1	NA
T10B11.5	WBGene00020401	T10B11.5	CELE_T10B11.5	2	NA
T10B11.6	WBGene00020402	T10B11.6	CELE_T10B11.6	3	NA
T10B11.7	WBGene00020403	hrde-4	CELE_T10B11.7	4	other_RBP
T10B11.8	WBGene00020404	T10B11.8	CELE_T10B11.8	3	other_RBP
T10B5.10	WBGene00020396	T10B5.10	CELE_T10B5.10	2	NA
T10B5.3	WBGene00020389	T10B5.3	CELE_T10B5.3	3	NA
T10B5.7	WBGene00020393	T10B5.7	CELE_T10B5.7	2	NA
T10B5.8	WBGene00020394	T10B5.8	CELE_T10B5.8	2	NA
T10B9.11	WBGene00045147	T10B9.11	CeN44,	2	NA
T10C6.10	WBGene00011691	T10C6.10	CELE_T10C6.10	5	other_RBP
T10C6.16	WBGene00077607	T10C6.16	CELE_T10C6.16	4	NA
T10C6.18	WBGene00195170	linc-61	CELE_T10C6.18	4	NA
T10C6.5	WBGene00011687	cwc-15	CELE_T10C6.5	4	NA
T10C6.6	WBGene00011688	T10C6.6	CELE_T10C6.6	3	SPN4
T10C6.7	WBGene00011689	T10C6.7	CELE_T10C6.7	2	other_RBP
T10C6.8	WBGene00014516	hpo-42	CELE_T10C6.8	1	NA
T10C6.9	WBGene00011690	T10C6.9	CELE_T10C6.9	2	NA
T10D4.3	WBGene00020407	chil-24	CELE_T10D4.3	1	other_RBP
T10D4.6	WBGene00020408	T10D4.6	CELE_T10D4.6	3	NA
T10D4.7	WBGene00020409	T10D4.7	CELE_T10D4.7	2	NA
T10E10.4	WBGene00020421	chtb-3	T10E10.b,	2	NA
T10E9.1	WBGene00020411	T10E9.1	CELE_T10E9.1	3	NA
T10E9.2	WBGene00020412	T10E9.2	CELE_T10E9.2	5	SPN4
T10E9.3	WBGene00020413	cpg-22	CELE_T10E9.3	2	NA
T10E9.4	WBGene00020414	T10E9.4	CELE_T10E9.4	2	NA
T10E9.8	WBGene00020418	T10E9.8	CELE_T10E9.8	2	NA
T10F2.2	WBGene00020422	T10F2.2	CELE_T10F2.2	5	NA
T10F2.4	WBGene00020423	prp-19	CELE_T10F2.4	4	NA
T10F2.5	WBGene00044604	T10F2.5	CELE_T10F2.5	2	other_RBP
T10G3.1	WBGene00011692	T10G3.1	CELE_T10G3.1	2	NA
T10G3.3	WBGene00011694	T10G3.3	CELE_T10G3.3	2	NA
T10H10.4	WBGene00196411	T10H10.4	CELE_T10H10.4	2	NA
T10H9.10	WBGene00198169	T10H9.10	CELE_T10H9.10	2	NA
T11B7.1	WBGene00011706	T11B7.1	CELE_T11B7.1	4	NA
T11F8.1	WBGene00020433	T11F8.1	CELE_T11F8.1	1	NA
T11F8.2	WBGene00020434	T11F8.2	CELE_T11F8.2	2	NA
T11F9.10	WBGene00011712	T11F9.10	CELE_T11F9.10	2	NA
T11F9.15	WBGene00014517	T11F9.15	U4-1,	2	NA
T11F9.19	WBGene00011716	T11F9.19	CELE_T11F9.19	1	NA
T11F9.21	WBGene00194712	T11F9.21	CELE_T11F9.21	2	NA
T11F9.22	WBGene00194784	T11F9.22	CELE_T11F9.22	1	NA
T11F9.23	WBGene00196500	T11F9.23	CELE_T11F9.23	2	NA
T11G6.2	WBGene00011717	T11G6.2	CELE_T11G6.2	1	NA
T11G6.3	WBGene00011718	T11G6.3	CELE_T11G6.3	2	NA
T11G6.4	WBGene00011719	T11G6.4	CELE_T11G6.4	2	NA
T11G6.5	WBGene00011720	T11G6.5	CELE_T11G6.5	5	NA
T11G6.8	WBGene00011722	rbm-22	CELE_T11G6.8	1	NA
T12A2.1	WBGene00020436	amdh-1	CELE_T12A2.1	2	NA
T12A2.2	WBGene00020437	stt-3	CELE_T12A2.2	1	other_RBP
T12A2.3	WBGene00020438	T12A2.3	CELE_T12A2.3	4	other_RBP
T12A2.5	WBGene00020439	T12A2.5	CELE_T12A2.5	1	NA
T12A2.7	WBGene00020441	bcas-2	CELE_T12A2.7	3	other_RBP
T12B3.2	WBGene00020445	T12B3.2	CELE_T12B3.2	2	NA
T12B3.3	WBGene00020446	T12B3.3	CELE_T12B3.3	5	NA
T12B3.4	WBGene00020447	mob-3	T12B3.a,	5	SPN4
T12C9.7	WBGene00020461	T12C9.7	CELE_T12C9.7	5	SPN4
T12D8.10	WBGene00023450	T12D8.10	CELE_T12D8.10	4	NA
T12D8.5	WBGene00011733	T12D8.5	CELE_T12D8.5	2	NA
T12D8.6	WBGene00011734	mlc-5	CELE_T12D8.6	5	SPN4
T12E12.1	WBGene00020462	ari-2	CELE_T12E12.1	3	NA
T12E12.2	WBGene00020463	cec-6	CELE_T12E12.2	3	NA
T12E12.3	WBGene00020464	tebp-2	dtn-2,	3	NA
T12F5.1	WBGene00020466	sld-2	CELE_T12F5.1	3	other_RBP
T12F5.2	WBGene00020467	T12F5.2	CELE_T12F5.2	3	NA
T12G3.1	WBGene00011737	sqst-1	CELE_T12G3.1	1	NA
T12G3.2	WBGene00011738	T12G3.2	CELE_T12G3.2	4	NA
T12G3.4	WBGene00011739	T12G3.4	CELE_T12G3.4	2	SPN4
T12G3.5	WBGene00011740	mrpl-51	CELE_T12G3.5	3	SPN4
T12G3.6	WBGene00011741	T12G3.6	CELE_T12G3.6	3	other_RBP
T12G3.7	WBGene00011742	tgn-38	CELE_T12G3.7	3	SPN4
T13B5.t1	WBGene00023346	T13B5.t1	CELE_T13B5.T1	2	NA
T13C2.6	WBGene00020481	gldi-2	CELE_T13C2.6	3	SPN4
T13C2.7	WBGene00020482	T13C2.7	CELE_T13C2.7	2	NA
T13C5.3	WBGene00020484	T13C5.3	CELE_T13C5.3	2	NA
T13C5.6	WBGene00020486	T13C5.6	CELE_T13C5.6	3	NA
T13C5.7	WBGene00020487	T13C5.7	CELE_T13C5.7	2	other_RBP
T13F2.2	WBGene00011743	T13F2.2	CELE_T13F2.2	3	NA
T13F2.4	WBGene00011744	T13F2.4	CELE_T13F2.4	2	NA
T13F2.6	WBGene00011746	T13F2.6	CELE_T13F2.6	3	SPN4
T13G4.1	WBGene00020488	T13G4.1	T13G4.g,	2	NA
T13G4.2	WBGene00020489	hot-8	T13G4.f,	1	NA
T13G4.4	WBGene00020491	T13G4.4	T13G4.d,	2	NA
T13G4.7	WBGene00020494	T13G4.7	T13G4.a,	2	NA
T13H2.8	WBGene00199327	T13H2.8	CELE_T13H2.8	2	NA
T13H5.3	WBGene00011757	cht-2	CELE_T13H5.3	2	NA
T13H5.4	WBGene00011758	prp-9	phi-8,	4	NA
T13H5.5	WBGene00011759	mrps-18B	CELE_T13H5.5	5	NA
T13H5.6	WBGene00011760	gldi-7	CELE_T13H5.6	2	NA
T13H5.8	WBGene00011761	T13H5.8	CELE_T13H5.8	3	other_RBP
T14A8.2	WBGene00020497	T14A8.2	CELE_T14A8.2	2	NA
T14B4.1	WBGene00020498	T14B4.1	CELE_T14B4.1	3	SPN4
T14B4.2	WBGene00020499	mrps-18.C	CELE_T14B4.2	5	NA
T14B4.3	WBGene00020500	T14B4.3	CELE_T14B4.3	3	NA
T14B4.5	WBGene00020501	T14B4.5	CELE_T14B4.5	5	SPN4
T14B4.8	WBGene00020502	T14B4.8	CELE_T14B4.8	3	other_RBP
T14C1.1	WBGene00011765	frpr-17	CELE_T14C1.1	2	NA
T14D7.1	WBGene00011767	agxt-1	CELE_T14D7.1	3	NA
T14E8.1	WBGene00020504	svh-2	CELE_T14E8.1	2	NA
T14E8.4	WBGene00043981	aaim-1	CELE_T14E8.4	2	NA
T14F9.2	WBGene00020508	T14F9.2	CELE_T14F9.2	4	NA
T14G10.5	WBGene00011775	copg-1	CELE_T14G10.5	5	NA
T14G10.7	WBGene00011776	pigs-1	hpo-5,	3	other_RBP
T14G10.8	WBGene00011777	T14G10.8	CELE_T14G10.8	5	other_RBP
T14G11.1	WBGene00020510	T14G11.1	CELE_T14G11.1	2	other_RBP
T14G11.4	WBGene00195895	T14G11.4	CELE_T14G11.4	2	NA
T14G8.2	WBGene00011770	T14G8.2	CELE_T14G8.2	1	other_RBP
T14G8.3	WBGene00011771	T14G8.3	CELE_T14G8.3	1	NA
T14G8.4	WBGene00011772	T14G8.4	CELE_T14G8.4	2	NA
T14G8.t1	WBGene00014519	T14G8.t1	CELE_T14G8.T1	2	NA
T15B12.2	WBGene00020531	T15B12.2	CELE_T15B12.2	2	NA
T15B7.12	WBGene00020524	dmsr-13	CELE_T15B7.12	2	NA
T15B7.2	WBGene00020517	hpo-8	CELE_T15B7.2	2	NA
T15H9.2	WBGene00011788	hal-3	CELE_T15H9.2	5	NA
T15H9.4	WBGene00011789	T15H9.4	CELE_T15H9.4	2	NA
T15H9.5	WBGene00011790	T15H9.5	CELE_T15H9.5	4	NA
T15H9.6	WBGene00011791	pap-2	CELE_T15H9.6	4	NA
T16A9.3	WBGene00011793	T16A9.3	CELE_T16A9.3	2	NA
T16A9.4	WBGene00011794	nep-21	CELE_T16A9.4	2	NA
T16G1.9	WBGene00011802	T16G1.9	CELE_T16G1.9	5	NA
T16G12.10	WBGene00044222	T16G12.10	CELE_T16G12.10	2	NA
T16G12.4	WBGene00011805	T16G12.4	CELE_T16G12.4	4	other_RBP
T16G12.6	WBGene00011807	T16G12.6	CELE_T16G12.6	3	other_RBP
T16G12.8	WBGene00011809	T16G12.8	CELE_T16G12.8	4	other_RBP
T16H12.1	WBGene00011811	T16H12.1	CELE_T16H12.1	2	NA
T16H12.11	WBGene00011819	hal-2	CELE_T16H12.11	3	other_RBP
T16H12.13	WBGene00194725	T16H12.13	CELE_T16H12.13	2	NA
T16H12.2	WBGene00011812	T16H12.2	CELE_T16H12.2	2	SPN4
T16H12.3	WBGene00011813	T16H12.3	CELE_T16H12.3	3	NA
T16H12.4	WBGene00011814	gtf-2H2C	CELE_T16H12.4	3	NA
T17A3.10	WBGene00020546	zig-13	CELE_T17A3.10	2	NA
T17A3.12	WBGene00020548	T17A3.12	CELE_T17A3.12	1	NA
T17A3.2	WBGene00020540	pals-25	CELE_T17A3.2	2	NA
T17A3.9	WBGene00020545	adbp-2	CELE_T17A3.9	2	NA
T18D3.1	WBGene00011820	T18D3.1	CELE_T18D3.1	1	NA
T18D3.12	WBGene00197153	T18D3.12	CELE_T18D3.12	2	NA
T18D3.7	WBGene00011824	tsct-1	txt-21,	2	NA
T18H9.10	WBGene00201246	T18H9.10	CELE_T18H9.10	2	NA
T19A5.1	WBGene00020553	ttc-17	CELE_T19A5.1	3	SPN4
T19A5.13	WBGene00196777	T19A5.13	CELE_T19A5.13	2	NA
T19A5.8	WBGene00198276	T19A5.8	CELE_T19A5.8	2	NA
T19A6.1	WBGene00011827	T19A6.1	CELE_T19A6.1	3	SPN4
T19A6.3	WBGene00011828	nepr-1	spo-7,	1	NA
T19B10.2	WBGene00011831	T19B10.2	phi-59,	2	NA
T19B10.3	WBGene00011832	bgal-1	CELE_T19B10.3	2	NA
T19B10.6	WBGene00011834	dvc-1	CELE_T19B10.6	3	NA
T19B10.8	WBGene00011835	pgap-1	CELE_T19B10.8	3	NA
T19B4.1	WBGene00020556	pamn-1	CELE_T19B4.1	5	NA
T19B4.3	WBGene00020557	aprt-1	1G247,	1	NA
T19B4.5	WBGene00020558	T19B4.5	CELE_T19B4.5	3	NA
T19C3.1	WBGene00020559	best-17	CELE_T19C3.1	2	NA
T19C3.4	WBGene00020562	T19C3.4	CELE_T19C3.4	5	NA
T19C3.5	WBGene00020563	T19C3.5	CELE_T19C3.5	1	NA
T19C3.6	WBGene00020564	T19C3.6	CELE_T19C3.6	2	NA
T19C3.7	WBGene00020565	T19C3.7	CELE_T19C3.7	2	NA
T19C4.1	WBGene00011838	T19C4.1	CELE_T19C4.1	2	NA
T19C4.16	WBGene00196056	T19C4.16	CELE_T19C4.16	1	NA
T19C4.5	WBGene00011839	T19C4.5	CELE_T19C4.5	2	NA
T19D12.10	WBGene00020584	T19D12.10	CELE_T19D12.10	2	NA
T19D12.3	WBGene00020578	T19D12.3	CELE_T19D12.3	2	other_RBP
T19D12.6	WBGene00020581	T19D12.6	CELE_T19D12.6	2	NA
T19D2.9	WBGene00200186	T19D2.9	CELE_T19D2.9	2	NA
T19D7.7	WBGene00020575	T19D7.7	Y9C12A.b,	2	NA
T19E7.6	WBGene00044500	T19E7.6	CELE_T19E7.6	2	NA
T19F4.6	WBGene00199451	T19F4.6	CELE_T19F4.6	2	NA
T19F4.8	WBGene00200215	T19F4.8	CELE_T19F4.8	2	NA
T19H12.2	WBGene00020588	T19H12.2	CELE_T19H12.2	4	NA
T19H5.1	WBGene00011846	chil-25	CELE_T19H5.1	2	NA
T19H5.4	WBGene00011849	T19H5.4	CELE_T19H5.4	1	NA
T20B12.1	WBGene00020600	trd-1	CELE_T20B12.1	3	NA
T20B12.3	WBGene00020601	T20B12.3	CELE_T20B12.3	5	NA
T20B12.7	WBGene00020604	T20B12.7	CELE_T20B12.7	1	NA
T20B3.1	WBGene00011850	T20B3.1	CELE_T20B3.1	1	NA
T20D3.2	WBGene00011856	nspg-7.1	CELE_T20D3.2	2	NA
T20D3.3	WBGene00011857	coa-4	CELE_T20D3.3	5	NA
T20D3.5	WBGene00011858	T20D3.5	CELE_T20D3.5	3	SPN4
T20D3.6	WBGene00011859	T20D3.6	CELE_T20D3.6	2	NA
T20D3.8	WBGene00011860	pigc-1	CELE_T20D3.8	3	SPN4
T20D4.12	WBGene00020618	T20D4.12	CELE_T20D4.12	1	NA
T20D4.15	WBGene00020620	T20D4.15	CELE_T20D4.15	2	NA
T20D4.19	WBGene00020624	T20D4.19	CELE_T20D4.19	2	NA
T20F10.2	WBGene00011864	T20F10.2	CELE_T20F10.2	3	NA
T20F10.5	NA	NA	NA	2	NA
T20F10.8	WBGene00077765	T20F10.8	CELE_T20F10.8	4	NA
T20F5.3	WBGene00020625	mrrf-1	CELE_T20F5.3	3	NA
T20F5.4	WBGene00020626	T20F5.4	CELE_T20F5.4	2	NA
T20F5.6	WBGene00020628	T20F5.6	CELE_T20F5.6	1	other_RBP
T20F5.7	WBGene00020629	T20F5.7	CELE_T20F5.7	2	SPN4
T20F7.1	WBGene00020630	T20F7.1	CELE_T20F7.1	1	other_RBP
T20G5.10	WBGene00011872	blos-1	CELE_T20G5.10	3	other_RBP
T20G5.14	WBGene00011875	cox-14	CELE_T20G5.14	3	NA
T20G5.15	WBGene00194683	T20G5.15	CELE_T20G5.15	1	NA
T20G5.16	WBGene00201285	T20G5.16	CELE_T20G5.16	2	NA
T20G5.4	WBGene00011868	best-18	CELE_T20G5.4	2	NA
T20G5.9	WBGene00011871	T20G5.9	CELE_T20G5.9	3	other_RBP
T20H4.2	WBGene00020635	ztf-31	CELE_T20H4.2	2	NA
T20H4.5	WBGene00020636	ndus-8	CELE_T20H4.5	3	NA
T21B10.1	WBGene00011883	mrpl-50	CELE_T21B10.1	2	NA
T21B10.3	WBGene00011885	T21B10.3	CELE_T21B10.3	5	NA
T21B10.4	WBGene00011886	T21B10.4	CELE_T21B10.4	5	SPN4
T21B4.15	WBGene00043054	T21B4.15	CELE_T21B4.15	2	NA
T21B4.17	WBGene00044032	ceh-99	CELE_T21B4.17	3	NA
T21B4.4	WBGene00011878	ador-1	CELE_T21B4.4	2	NA
T21C12.10	WBGene00200198	T21C12.10	CELE_T21C12.10	2	NA
T21C12.3	WBGene00011899	nlp-68	3K628,	1	NA
T21C12.4	WBGene00011900	T21C12.4	CELE_T21C12.4	4	NA
T21C12.8	WBGene00043998	T21C12.8	CELE_T21C12.8	4	NA
T21C12.9	WBGene00198818	T21C12.9	CELE_T21C12.9	2	NA
T21C9.1	WBGene00011890	mics-1	CELE_T21C9.1	1	other_RBP
T21C9.11	WBGene00011896	T21C9.11	CELE_T21C9.11	2	NA
T21C9.13	WBGene00011898	T21C9.13	CELE_T21C9.13	3	SPN4
T21C9.17	WBGene00201900	T21C9.17	CELE_T21C9.17	2	NA
T21C9.4	WBGene00011892	erh-1	CELE_T21C9.4	4	NA
T21C9.9	WBGene00011895	T21C9.9	CELE_T21C9.9	2	NA
T21D11.1	WBGene00020646	zmp-6	CELE_T21D11.1	2	NA
T21D12.12	WBGene00020651	T21D12.12	CELE_T21D12.12	2	NA
T21D9.2	WBGene00020645	T21D9.2	CELE_T21D9.2	2	NA
T21D9.3	WBGene00195598	T21D9.3	CELE_T21D9.3	2	NA
T21D9.5	WBGene00198163	T21D9.5	CELE_T21D9.5	2	NA
T21E12.3	WBGene00020655	try-15	CELE_T21E12.3	2	NA
T21F4.1	WBGene00020658	argn-1	CELE_T21F4.1	4	NA
T21G5.2	WBGene00020660	T21G5.2	CELE_T21G5.2	2	NA
T21G5.6	WBGene00044898	let-383	CELE_T21G5.6	2	NA
T21H3.5	WBGene00020664	T21H3.5	CELE_T21H3.5	2	NA
T21H8.t1	WBGene00014843	T21H8.t1	CELE_T21H8.T1	2	NA
T22A3.6	WBGene00011909	T22A3.6	CELE_T22A3.6	2	NA
T22B11.1	WBGene00020675	spe-51	CELE_T22B11.1	2	NA
T22B11.4	WBGene00020678	kin-36	CELE_T22B11.4	2	NA
T22B11.5	WBGene00020679	ogdh-1	CELE_T22B11.5	3	SPN4
T22B2.1	WBGene00020665	T22B2.1	CELE_T22B2.1	4	other_RBP
T22B2.2	WBGene00020666	T22B2.2	CELE_T22B2.2	1	NA
T22B2.5	WBGene00020669	T22B2.5	CELE_T22B2.5	2	NA
T22B2.6	WBGene00020670	idpp-9	CELE_T22B2.6	2	NA
T22B2.9	WBGene00200318	T22B2.9	CELE_T22B2.9	2	NA
T22B3.3	WBGene00011911	T22B3.3	CELE_T22B3.3	2	NA
T22B7.3	WBGene00020672	T22B7.3	CELE_T22B7.3	2	NA
T22B7.4	WBGene00020673	T22B7.4	CELE_T22B7.4	1	NA
T22C1.1	WBGene00011912	T22C1.1	CELE_T22C1.1	1	NA
T22C1.11	WBGene00011920	T22C1.11	CELE_T22C1.11	1	NA
T22C1.12	WBGene00011921	T22C1.12	CELE_T22C1.12	2	NA
T22C1.3	WBGene00011914	pigu-1	CELE_T22C1.3	5	other_RBP
T22C1.4	WBGene00011915	ctf-8	CELE_T22C1.4	3	other_RBP
T22C1.5	WBGene00011916	T22C1.5	CELE_T22C1.5	3	NA
T22C1.6	WBGene00011917	T22C1.6	CELE_T22C1.6	3	NA
T22C8.3	WBGene00011924	T22C8.3	CELE_T22C8.3	1	NA
T22C8.4	WBGene00011925	T22C8.4	CELE_T22C8.4	4	NA
T22D1.11	WBGene00020688	cest-6	CELE_T22D1.11	2	NA
T22D1.17	WBGene00195050	T22D1.17	CELE_T22D1.17	1	NA
T22D1.19	WBGene00196846	T22D1.19	CELE_T22D1.19	2	NA
T22D1.3	WBGene00020682	T22D1.3	CELE_T22D1.3	3	NA
T22D1.4	WBGene00020683	ribo-1	CELE_T22D1.4	1	other_RBP
T22D1.5	WBGene00020684	T22D1.5	CELE_T22D1.5	3	NA
T22E5.3	WBGene00020691	igdb-3	CELE_T22E5.3	2	NA
T22F3.2	WBGene00020695	T22F3.2	CELE_T22F3.2	3	SPN4
T22F3.3	WBGene00020696	pygl-1	CELE_T22F3.3	2	SPN4
T22F7.1	WBGene00020701	T22F7.1	CELE_T22F7.1	2	NA
T22F7.4	WBGene00020703	T22F7.4	CELE_T22F7.4	2	other_RBP
T22F7.5	NA	NA	NA	2	NA
T22G5.3	WBGene00011930	T22G5.3	CELE_T22G5.3	4	NA
T22H2.4	WBGene00011934	T22H2.4	CELE_T22H2.4	2	NA
T22H6.1	WBGene00011937	ilc-17.1	CELE_T22H6.1	2	NA
T22H9.1	WBGene00020705	T22H9.1	CELE_T22H9.1	3	NA
T23B12.1	WBGene00020716	phf-30	CELE_T23B12.1	3	NA
T23B12.11	WBGene00044553	T23B12.11	CELE_T23B12.11	2	NA
T23B12.2	WBGene00020717	mrpl-4	CELE_T23B12.2	5	NA
T23B12.3	WBGene00020718	mrps-2	CELE_T23B12.3	3	NA
T23B12.4	WBGene00020719	natc-1	CELE_T23B12.4	3	NA
T23B12.6	WBGene00020721	T23B12.6	CELE_T23B12.6	5	SPN4
T23B12.8	WBGene00020722	gplb-1	CELE_T23B12.8	2	NA
T23B3.1	WBGene00020709	T23B3.1	CELE_T23B3.1	3	other_RBP
T23B3.2	WBGene00020710	T23B3.2	CELE_T23B3.2	3	other_RBP
T23B3.5	WBGene00020713	T23B3.5	CELE_T23B3.5	2	NA
T23B3.6	WBGene00020714	T23B3.6	CELE_T23B3.6	4	NA
T23B5.3	WBGene00011940	T23B5.3	CELE_T23B5.3	3	NA
T23B5.4	WBGene00011941	T23B5.4	CELE_T23B5.4	3	NA
T23B7.3	WBGene00044767	T23B7.3	CELE_T23B7.3	2	NA
T23C6.4	WBGene00020726	T23C6.4	CELE_T23C6.4	4	NA
T23C6.5	WBGene00020727	npr-21	CELE_T23C6.5	2	NA
T23D8.3	WBGene00011944	T23D8.3	CELE_T23D8.3	4	NA
T23D8.7	WBGene00011945	alg-5	hpo-24,	5	other_RBP
T23E1.2	WBGene00020729	T23E1.2	CELE_T23E1.2	3	NA
T23E1.3	WBGene00020730	T23E1.3	CELE_T23E1.3	2	NA
T23E7.2	WBGene00020732	T23E7.2	CELE_T23E7.2	2	NA
T23F11.1	WBGene00011953	ppm-2	CELE_T23F11.1	3	SPN4
T23F11.4	WBGene00011956	T23F11.4	CELE_T23F11.4	3	other_RBP
T23F2.3	WBGene00020736	T23F2.3	CELE_T23F2.3	2	NA
T23F2.4	WBGene00020737	T23F2.4	CELE_T23F2.4	2	NA
T23F2.5	WBGene00020738	T23F2.5	CELE_T23F2.5	4	NA
T23F6.1	WBGene00011949	idpp-7	CELE_T23F6.1	2	NA
T23F6.3	WBGene00011951	T23F6.3	CELE_T23F6.3	2	NA
T23F6.5	WBGene00011952	T23F6.5	CELE_T23F6.5	2	NA
T23G11.1	WBGene00011968	T23G11.1	CELE_T23G11.1	2	NA
T23G11.11	WBGene00077728	T23G11.11	CELE_T23G11.11	2	other_RBP
T23G11.4	WBGene00011969	T23G11.4	CELE_T23G11.4	1	NA
T23G11.6	WBGene00011971	lron-9	CELE_T23G11.6	2	NA
T23G11.7	WBGene00011972	T23G11.7	CELE_T23G11.7	1	NA
T23G4.3	WBGene00011959	nyn-1	CELE_T23G4.3	2	NA
T23G5.2	WBGene00011962	T23G5.2	CELE_T23G5.2	4	NA
