gene_ID	name	SPN4	OMA1	LIN41	spn4_enrichment	oma1_enrichment	lin41_enrichment	Log2_SPN-4_LYSATE_FPKM	Log2_SPN-4_IP_FPKM	Log2_OMA-1_LYSATE_FPKM	Log2_OMA-1_IP_FPKM	Log2_LIN-41_LYSATE_FPKM	Log2_LIN-41_IP_FPKM
WBGene00004349	rgs-6	FALSE	FALSE	FALSE	-0.455587741	0.909910587	0.703524503	0.372	-0.114	0.083	0.92	0.858	1.535
WBGene00197235	C41G11.11	FALSE	FALSE	FALSE		-0.024812051	2.03262546	-3.322	-3.322	-2.62	-3.322	-3.322	-3.322
WBGene00196843	C41G11.9	FALSE	FALSE	FALSE		1.390871213	1.556917718	-3.322	-3.322	-3.322	-3.322	-2.438	-2.23
WBGene00199652	C41G11.15	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00201717	C41G11.18	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00202052	C41G11.20	FALSE	FALSE	FALSE		1.390871213		-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00199293	C41G11.14	FALSE	FALSE	FALSE		0.936951329	0.595154057	-3.322	-3.322	-2.438	-2.388	-2.356	-3.322
WBGene00196435	C41G11.7	FALSE	FALSE	FALSE		1.390802126	2.306684381	-3.322	-3.322	-3.322	-3.322	-2.359	-1.046
WBGene00200831	C41G11.16	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00196050	C41G11.6	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00196873	C41G11.10	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00170613	21ur-14574	FALSE	FALSE	FALSE		1.390803573		-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00197571	C41G11.12	FALSE	FALSE	FALSE			2.032554839	-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00016570	gnrr-4	FALSE	FALSE	FALSE	-1.019811639	0.151752759	0.200066073	-0.343	-1.167	-0.232	-0.093	-0.169	-0.023
WBGene00198557	C41G11.13	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00201265	C41G11.17	FALSE	FALSE	FALSE		-0.024812051	0.59466678	-3.322	-3.322	-2.513	-3.322	-2.435	-3.322
WBGene00196614	C41G11.8	FALSE	FALSE	FALSE	3.206477844	-0.11963462	2.03262546	-3.322	-1.438	-2.317	-3.322	-3.322	-3.322
WBGene00201740	C41G11.19	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00196569	C54H2.7	FALSE	FALSE	FALSE	0.789813324	-0.024795394		-1.738	-3.322	-2.4	-3.322	-3.322	-3.322
WBGene00197687	C54H2.8	FALSE	FALSE	FALSE		-1.137414946	2.994362103	-3.322	-3.322	-1.949	-3.322	-3.322	-2.163
WBGene00198779	C54H2.9	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00016937	tag-294	FALSE	TRUE	TRUE	1.050488855	2.912153966	2.277294087	3.748	4.788	3.905	6.809	3.93	6.189
WBGene00199857	C54H2.11	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00198888	C54H2.10	FALSE	FALSE	FALSE	4.828795481	4.223395976	0.595092998	-3.322	0.901	-3.322	0.199	-2.242	-3.322
WBGene00016938	C54H2.4	FALSE	FALSE	FALSE	0.531227555	0.860639206	1.556917718	-2.695	-3.322	-3.101	-3.031	-3.096	-2.926
WBGene00196306	C54H2.6	FALSE	FALSE	FALSE		3.933291297		-3.322	-3.322	-3.322	-1.398	-3.322	-3.322
WBGene00006368	sym-3	FALSE	FALSE	FALSE	-0.574335441	-0.915193602	0.654245565	2.23	1.61	2.33	1.436	2.396	3.048
WBGene00004788	sft-4	FALSE	FALSE	FALSE	0.597824732	0.555565702	1.275536045	5.247	5.852	5.291	5.845	5.049	6.316
WBGene00018516	gakh-1	FALSE	FALSE	FALSE	0.37883793	-0.288833449	-0.468050574	2.115	2.414	2.584	2.29	1.806	1.324
WBGene00045269	F46G11.6	FALSE	FALSE	FALSE	-1.713503276	-2.463971197	1.524660456	-0.998	-3.322	-2.385	-3.322	-2.789	-2.132
WBGene00018515	F46G11.2	FALSE	FALSE	FALSE	-1.054798553	-0.381097186	-2.6954608	-0.615	-1.607	-1.269	-1.549	-1.453	-2.868
WBGene00195278	F46G11.7	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00197569	F46G11.13	FALSE	FALSE	FALSE			0.577419876	-3.322	-3.322	-3.322	-3.322	-2.351	-3.322
WBGene00195928	F46G11.9	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00018514	twnk-1	FALSE	FALSE	FALSE	0.120295426	-2.608042243	-0.438130654	-1.664	-1.886	-1.52	-2.823	-1.164	-1.493
WBGene00196282	F46G11.10	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00195469	F46G11.8	FALSE	FALSE	FALSE	1.708064738	-0.971100013	0.538607447	-2.048	-1.958	-2.296	-3.322	-2.195	-2.15
WBGene00199649	F46G11.15	FALSE	FALSE	FALSE		2.352607855		-3.322	-3.322	-3.322	-2.296	-3.322	-3.322
WBGene00197173	F46G11.12	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00200452	F46G11.17	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00018517	F46G11.4	FALSE	FALSE	FALSE	3.084716268	-2.445749722	-2.581623365	-3.322	-2.209	-0.871	-2.76	-0.802	-3.322
WBGene00199672	F46G11.16	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00202028	F46G11.19	FALSE	FALSE	FALSE			2.994318627	-3.322	-3.322	-3.322	-3.322	-3.322	-1.919
WBGene00201224	F46G11.18	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00197101	F46G11.11	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00199176	F46G11.14	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00202044	F46G11.20	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00003323	mir-230	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00017428	F13D11.3	FALSE	FALSE	FALSE	-0.497002018	-1.602857636	-1.023837601	0.604	-0.653	0.518	-1.057	0.493	-1.437
WBGene00045352	mir-791	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00201943	F13D11.22	FALSE	FALSE	FALSE		1.390803573		-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00196680	F13D11.9	FALSE	FALSE	FALSE			2.032558416	-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00195890	F13D11.7	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00198756	F13D11.13	FALSE	FALSE	FALSE			1.5391593	-3.322	-3.322	-3.322	-3.322	-2.367	-2.2
WBGene00197052	F13D11.10	FALSE	FALSE	FALSE	0.789770232	1.162771455	0.536573175	-1.863	-3.322	-1.799	-0.228	-2.018	-2.215
WBGene00199350	F13D11.15	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00200344	F13D11.16	FALSE	FALSE	FALSE		-0.638223618	0.783749123	-3.322	-3.322	-0.112	-1.971	-0.663	-0.783
WBGene00201378	F13D11.18	FALSE	FALSE	FALSE			2.03262546	-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00201564	F13D11.19	FALSE	FALSE	FALSE	-0.848032779	-0.693444439	-0.745448433	0.365	-1.115	-0.79	-1.673	0.136	-0.556
WBGene00197578	F13D11.12	FALSE	FALSE	FALSE	-0.962032251	0.629037381	0.667662787	-0.493	-3.322	-0.719	-0.229	-0.804	-0.296
WBGene00197449	F13D11.11	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00201836	F13D11.21	FALSE	FALSE	FALSE			0.5951166	-3.322	-3.322	-3.322	-3.322	-2.976	-3.322
WBGene00198996	F13D11.14	FALSE	FALSE	FALSE	1.708907752	-0.737782375	-1.396486489	-1.846	-1.808	-1.781	-2.403	-1.577	-3.322
WBGene00200828	F13D11.17	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00201633	F13D11.20	FALSE	FALSE	FALSE	-1.192388357	-1.458479375	-0.113723117	0.163	-3.322	-1.115	-2.554	-0.871	-1.162
WBGene00196004	F13D11.8	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00001824	hbl-1	FALSE	FALSE	FALSE	2.242339582	1.134555103	0.640554213	1.086	3.353	1.433	2.535	1.706	2.298
