"Comparison","diff","lwr","upr","p adj"
"4-cell_DG5398-2-cell_DG3913",2163.91666666665,54.3814497611402,4273.45188357216,0.0382668781937723
"2-cell_DG5329-2-cell_DG5410",1166.74999999999,-839.818235949221,3173.3182359492,0.783443321528302
"2-cell_DG5779-2-cell_DG5410",3823.5,2101.07170805002,5545.92829194998,1.13769327292346e-10
"2-cell_DG5399-2-cell_DG5410",5410.19444444445,3549.75925582289,7270.62963306601,6.25055562863963e-14
"2-cell_DG5398-2-cell_DG5410",5870.61956521739,4129.56988569021,7611.66924474456,0
"4-cell_N2-2-cell_DG5410",-1231.67857142857,-3238.24680737778,774.889664520639,0.713165888063079
"4-cell_DG3913-2-cell_DG5410",-1239.39285714285,-3802.4481746469,1323.6624603612,0.933533980285225
"4-cell_DG5410-2-cell_DG5410",-1456.88636363637,-3629.40660867061,715.633881397877,0.575864890429631
"4-cell_DG5329-2-cell_DG5410",-1467.45000000001,-4400.63968712189,1465.73968712188,0.915278761638197
"4-cell_DG5779-2-cell_DG5410",800.044117647057,-1091.40045989693,2691.48869519104,0.976806702980528
"4-cell_DG5399-2-cell_DG5410",4003.53571428571,1996.9674783365,6010.10395023492,1.03548669638798e-08
"4-cell_DG5398-2-cell_DG5410",2990.25,880.714783094488,5099.78521690551,0.00023881785153812
"2-cell_DG5779-2-cell_DG5329",2656.75000000001,650.181764050796,4663.31823594922,0.000934732993133069
"2-cell_DG5399-2-cell_DG5329",4243.44444444446,2117.23280030554,6369.65608858339,1.02424763115394e-08
"2-cell_DG5398-2-cell_DG5329",4703.8695652174,2681.29426348144,6726.44486695335,1.24027454972975e-11
"4-cell_N2-2-cell_DG5329",-2398.42857142856,-4653.61657914121,-143.240563715915,0.0254360143626504
"4-cell_DG3913-2-cell_DG5329",-2406.14285714284,-5168.17280361272,355.887089327041,0.163383827909381
"4-cell_DG5410-2-cell_DG5329",-2623.63636363636,-5027.67485744095,-219.597869831763,0.0185889874427001
"4-cell_DG5329-2-cell_DG5329",-2634.2,-5742.76214434404,474.362144344039,0.197239336683414
"4-cell_DG5779-2-cell_DG5329",-366.705882352934,-2520.10307157074,1786.69130686487,0.999998674727658
"4-cell_DG5399-2-cell_DG5329",2836.78571428572,581.597706573074,5091.97372199837,0.00232705430467761
"4-cell_DG5398-2-cell_DG5329",1823.50000000001,-523.774099029586,4170.7740990296,0.324992376424194
"2-cell_DG5399-2-cell_DG5779",1586.69444444446,-273.740744177104,3447.12963306601,0.189046606792821
"2-cell_DG5398-2-cell_DG5779",2047.11956521739,306.069885690217,3788.16924474456,0.00675432188793346
"4-cell_N2-2-cell_DG5779",-5055.17857142857,-7061.74680737778,-3048.61033547936,2.50577336657898e-13
"4-cell_DG3913-2-cell_DG5779",-5062.89285714285,-7625.9481746469,-2499.8375396388,1.52172120460037e-08
"4-cell_DG5410-2-cell_DG5779",-5280.38636363636,-7452.90660867061,-3107.86611860212,1.37168054692438e-12
"4-cell_DG5329-2-cell_DG5779",-5290.95000000001,-8224.13968712189,-2357.76031287812,3.79056146471157e-07
"4-cell_DG5779-2-cell_DG5779",-3023.45588235294,-4914.90045989693,-1132.01130480896,1.35417109776714e-05
"4-cell_DG5399-2-cell_DG5779",180.035714285715,-1826.5325216635,2186.60395023493,0.999999999564227
"4-cell_DG5398-2-cell_DG5779",-833.25,-2942.78521690551,1276.28521690551,0.987186784938836
"2-cell_DG5398-2-cell_DG5399",460.425120772934,-1417.26331364138,2338.11355518725,0.999903358812944
"4-cell_N2-2-cell_DG5399",-6641.87301587303,-8768.08466001195,-4515.6613717341,4.78506123613442e-14
"4-cell_DG3913-2-cell_DG5399",-6649.5873015873,-9307.35185676096,-3991.82274641365,3.42725847701786e-13
"4-cell_DG5410-2-cell_DG5399",-6867.08080808082,-9150.56588253067,-4583.59573363096,6.01740879346835e-14
"4-cell_DG5329-2-cell_DG5399",-6877.64444444446,-9893.94376825001,-3861.34512063891,3.23455706663367e-11
"4-cell_DG5779-2-cell_DG5399",-4610.1503267974,-6628.07561284546,-2592.22504074933,2.94649860066443e-11
"4-cell_DG5399-2-cell_DG5399",-1406.65873015874,-3532.87037429767,719.552913980185,0.598304302969788
"4-cell_DG5398-2-cell_DG5399",-2419.94444444446,-4643.58980769737,-196.299081191538,0.0192524325308809
"4-cell_N2-2-cell_DG5398",-7102.29813664596,-9124.87343838191,-5079.72283491001,0
"4-cell_DG3913-2-cell_DG5398",-7110.01242236024,-9685.61862794714,-4534.40621677334,6.22835116814713e-14
"4-cell_DG5410-2-cell_DG5398",-7327.50592885375,-9514.81911647815,-5140.19274122936,0
