transcript	spn4	cell_stage	mean	sd
lin-41	spn4_plus	8-11-cell	1111	570.338245504994
lin-41	spn4_plus	12-15-cell	391.875	118.963905090097
lin-41	spn4_plus	16-28-cell	143.25	54.2948300616971
lin-41	spn4_minus	2-cell	9149.33333333333	1730.19497937853
lin-41	spn4_minus	4-cell	8143.4	2051.08344540148
lin-41	spn4_minus	8-11-cell	9694.16666666667	2024.75079124979
lin-41	spn4_minus	12-15-cell	8874.125	1258.94382462897
lin-41	spn4_minus	16-28-cell	6439.5	3116.80106152813
lin-41	spn4_wt	2-cell	2790.5	1568.49582175317
lin-41	spn4_wt	4-cell	966.625	429.757053461604
lin-41	spn4_wt	8-11-cell	492.333333333333	210.285203156729
lin-41	spn4_wt	12-15-cell	192.875	68.4260549790794
lin-41	spn4_wt	16-28-cell	98.375	43.3752315761624
mcm-2	spn4_plus	2-cell	8883.375	574.71258344622
mcm-2	spn4_plus	4-cell	9010.3	704.009004045955
mcm-2	spn4_plus	8-11-cell	7108.85714285714	2414.81727594252
mcm-2	spn4_plus	12-15-cell	8212.625	2117.24611819221
mcm-2	spn4_plus	16-28-cell	8276.85714285714	671.997626129594
mcm-2	spn4_minus	2-cell	8262.25	1204.95734957123
mcm-2	spn4_minus	4-cell	7848.75	1776.95017616461
mcm-2	spn4_minus	8-11-cell	8928.125	812.229460453492
mcm-2	spn4_minus	12-15-cell	7563	1690.90795559241
mcm-2	spn4_minus	16-28-cell	7905.77777777778	784.333758322593
mcm-2	spn4_wt	2-cell	9011.875	925.763227597331
mcm-2	spn4_wt	4-cell	9291.5	884.842197392119
mcm-2	spn4_wt	8-11-cell	8594.25	1636.49579895581
mcm-2	spn4_wt	12-15-cell	8146	1746.6658851325
mcm-2	spn4_wt	16-28-cell	7623.375	1176.65007997887
mex-5	spn4_plus	2-cell	19914.5	1890.25123046798
mex-5	spn4_plus	4-cell	17121.75	2112.28763936841
mex-5	spn4_plus	8-11-cell	11505.75	4050.66445166716
mex-5	spn4_plus	12-15-cell	7224.88888888889	2832.87082499558
mex-5	spn4_plus	16-28-cell	2431.125	923.480595743238
mex-5	spn4_minus	2-cell	18960.25	2361.0672980062
mex-5	spn4_minus	4-cell	18175	5863.68418743711
mex-5	spn4_minus	8-11-cell	19091.8888888889	3456.68451859742
mex-5	spn4_minus	12-15-cell	19281.625	1075.34724458129
mex-5	spn4_minus	16-28-cell	16094.25	2616.75582953943
mex-5	spn4_wt	2-cell	15133.125	2520.08913887131
mex-5	spn4_wt	4-cell	13830.9	2309.40393704619
mex-5	spn4_wt	8-11-cell	9350.75	2070.5405608888
mex-5	spn4_wt	12-15-cell	4525.77777777778	1700.05961496779
mex-5	spn4_wt	16-28-cell	1694	920.964556476369
nasp-2	spn4_plus	2-cell	23753	2860.32625511746
nasp-2	spn4_plus	4-cell	19934	4026.98799175194
nasp-2	spn4_plus	8-11-cell	19028	6649.10589048311
nasp-2	spn4_plus	12-15-cell	21583.5555555556	4078.7239153659
nasp-2	spn4_plus	16-28-cell	18048.875	3181.61394073152
nasp-2	spn4_minus	2-cell	21085	3924.52887072357
nasp-2	spn4_minus	4-cell	22045	6224.56114918956
nasp-2	spn4_minus	8-11-cell	22169.5555555556	4601.83504460751
nasp-2	spn4_minus	12-15-cell	22210.5	2592.8976069255
nasp-2	spn4_minus	16-28-cell	19043.25	4275.46527960909
nasp-2	spn4_wt	2-cell	17184.5	4507.92475659378
nasp-2	spn4_wt	4-cell	21711.2	4540.97071854319
nasp-2	spn4_wt	8-11-cell	18830.875	4834.96959474854
nasp-2	spn4_wt	12-15-cell	14541	2890.43945620731
nasp-2	spn4_wt	16-28-cell	13541.875	4580.97776330088
nos-1	spn4_plus	2-cell	2566.875	554.635642948207
nos-1	spn4_plus	4-cell	2150	604.519171384522
nos-1	spn4_plus	8-11-cell	1006.625	560.71228616568
nos-1	spn4_plus	12-15-cell	362.5	228.201039186315
nos-1	spn4_plus	16-28-cell	152.75	45.4933276112317
nos-1	spn4_minus	2-cell	2461.5	934.27806353355
nos-1	spn4_minus	4-cell	2281.77777777778	767.638876324307
nos-1	spn4_minus	8-11-cell	1844.33333333333	503.534176264796
nos-1	spn4_minus	12-15-cell	1121.41666666667	841.104842490284
nos-1	spn4_minus	16-28-cell	1131.25	1037.93268086134
nos-1	spn4_wt	2-cell	2603.25	534.608200995298
nos-1	spn4_wt	4-cell	1657.625	741.75697550767
nos-1	spn4_wt	8-11-cell	1090.83333333333	362.040006997385
nos-1	spn4_wt	12-15-cell	344.625	141.592914976098
nos-1	spn4_wt	16-28-cell	129	66.811034161389
npr-35	spn4_plus	2-cell	16.3	6.4299645756757
npr-35	spn4_plus	4-cell	14.2222222222222	6.85160159703149
npr-35	spn4_plus	8-11-cell	9.28571428571429	4.42396073348629
npr-35	spn4_plus	12-15-cell	13.25	6.36396103067893
npr-35	spn4_plus	16-28-cell	13	9.1469484893415
npr-35	spn4_minus	2-cell	26.375	11.0186530159414
npr-35	spn4_minus	4-cell	29.875	13.3997601257848
npr-35	spn4_minus	8-11-cell	24.3333333333333	11.1474959819085
npr-35	spn4_minus	12-15-cell	20.7777777777778	7.22457226723108
npr-35	spn4_minus	16-28-cell	37.1111111111111	14.8024022074497
npr-35	spn4_wt	2-cell	17.3333333333333	8.74642784226795
npr-35	spn4_wt	4-cell	10.5	4.30945803685667
npr-35	spn4_wt	8-11-cell	11.2857142857143	5.46852465522118
npr-35	spn4_wt	12-15-cell	21	14.0089257261219
npr-35	spn4_wt	16-28-cell	23.25	13.3924285645712
oma-2	spn4_plus	2-cell	20701.875	2688.72909103911
oma-2	spn4_plus	4-cell	15921	2987.19444741494
oma-2	spn4_plus	8-11-cell	12129	4686.66963015554
oma-2	spn4_plus	12-15-cell	4468	1562.5819445179
oma-2	spn4_plus	16-28-cell	1332.375	778.813004789065
oma-2	spn4_minus	2-cell	20423.25	2809.97873657435
oma-2	spn4_minus	4-cell	22912	3324.10653946505
oma-2	spn4_minus	8-11-cell	20937.125	5439.88840320146
oma-2	spn4_minus	12-15-cell	18809.3333333333	2565.52051248865
oma-2	spn4_minus	16-28-cell	17742.875	3355.11734678748
oma-2	spn4_wt	2-cell	18431.125	3351.14873428288
oma-2	spn4_wt	4-cell	12086.75	3483.44352411723
oma-2	spn4_wt	8-11-cell	5121.25	2439.05296316887
oma-2	spn4_wt	12-15-cell	2741.125	675.611984478834
oma-2	spn4_wt	16-28-cell	837.125	371.642084922731
pigv-1	spn4_plus	2-cell	7018.75	639.310733748241
pigv-1	spn4_plus	4-cell	6321.6	706.281215632665
pigv-1	spn4_plus	8-11-cell	5055.14285714286	596.933672633576
pigv-1	spn4_plus	12-15-cell	4708.125	1028.7550642125
pigv-1	spn4_plus	16-28-cell	2556.85714285714	1422.99548237412
pigv-1	spn4_minus	2-cell	6489.875	1120.75923723927
pigv-1	spn4_minus	4-cell	5915.25	589.212731411281
pigv-1	spn4_minus	8-11-cell	5991	593.071906023448
pigv-1	spn4_minus	12-15-cell	4332	1324.05448744162
pigv-1	spn4_minus	16-28-cell	3544.77777777778	582.123221014627
pigv-1	spn4_wt	2-cell	8224.25	926.988942760376
pigv-1	spn4_wt	4-cell	7849.125	944.36364628705
pigv-1	spn4_wt	8-11-cell	6483.75	1588.0910148441
pigv-1	spn4_wt	12-15-cell	4913.625	522.045684235174
pigv-1	spn4_wt	16-28-cell	1765.75	1180.71174055555
vab-2	spn4_plus	2-cell	216.125	66.0744979982011
vab-2	spn4_plus	4-cell	161.285714285714	43.3001704604585
vab-2	spn4_plus	8-11-cell	105.625	48.0087417634985
vab-2	spn4_plus	12-15-cell	91.7777777777778	44.1921310240233
vab-2	spn4_plus	16-28-cell	254.125	322.259628028617
vab-2	spn4_minus	2-cell	166.75	62.8916301494654
vab-2	spn4_minus	4-cell	198.777777777778	35.0313351792998
vab-2	spn4_minus	8-11-cell	160	70.0734308728045
vab-2	spn4_minus	12-15-cell	159.25	60.5728604952039
vab-2	spn4_minus	16-28-cell	140.375	21.0165750913756
vab-2	spn4_wt	2-cell	160.625	65.6417495631727
vab-2	spn4_wt	4-cell	152.333333333333	61.1678019876471
vab-2	spn4_wt	8-11-cell	116.5	37.0829186707689
vab-2	spn4_wt	12-15-cell	103.555555555556	17.5791859247742
vab-2	spn4_wt	16-28-cell	269.375	245.162883173033
