transcript	cell_stage	.y.	group1	group2	n1	n2	statistic	df	p	p.adj	p.adj.signif
mex-5	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	14.6823020819571	8.70794766733335	1.92e-07	6.01090909090909e-06	****
nasp-2	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	1.5539164824761	12.8001365542251	0.145	0.222177419354839	ns
nasp-2	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	10	3.75814264554019	15.3421552495375	0.002	0.00619565217391304	**
nasp-2	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	10	1.96072387389971	15.8454434432044	0.068	0.11962962962963	ns
nasp-2	4-cell	total_no_RNA	spn4_plus	spn4_minus	8	9	-0.838908228898387	13.808616763144	0.416	0.52	ns
nasp-2	4-cell	total_no_RNA	spn4_plus	spn4_wt	8	10	-0.878863337610179	15.7825819634993	0.393	0.495597345132743	ns
nasp-2	4-cell	total_no_RNA	spn4_minus	spn4_wt	9	10	0.132286912330126	14.5349896161008	0.897	0.92625	ns
nasp-2	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	8	9	-1.11918158419067	12.2817011585116	0.284	0.371284403669725	ns
nasp-2	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	0.0678193119854748	12.7851965161769	0.947	0.957074468085106	ns
nasp-2	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	1.45364837717342	14.5545445928301	0.167	0.242831632653061	ns
nasp-2	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	9	8	-0.382337721554118	13.6932000392727	0.708	0.785136186770428	ns
nasp-2	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	9	9	4.22632550315215	14.4168629263583	0.000796	0.00327586206896552	**
nasp-2	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	9	5.76689491033182	14.9956639777271	3.72e-05	0.000255142857142857	***
nasp-2	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-0.527738356077109	12.9332658433828	0.607	0.697560483870968	ns
nasp-2	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	2.28557951616608	12.4784365074212	0.04	0.077027027027027	ns
nasp-2	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	2.48321120872911	13.9338336954031	0.026	0.0544852941176471	ns
nos-1	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	6	0.24570224993343	7.61259643385301	0.812	0.866741573033708	ns
nos-1	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	-0.133556331563879	13.9811066623918	0.896	0.92625	ns
nos-1	2-cell	total_no_RNA	spn4_minus	spn4_wt	6	8	-0.332995212570525	7.43690751150662	0.748	0.813664122137405	ns
nos-1	4-cell	total_no_RNA	spn4_plus	spn4_minus	8	9	-0.395255613644283	14.8152925665525	0.698	0.7770703125	ns
nos-1	4-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	1.45538195876787	13.4522834891182	0.169	0.244492385786802	ns
nos-1	4-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	1.70346835170623	14.8755697353775	0.109	0.178534482758621	ns
nos-1	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	8	6	-2.93332862426855	11.5123434385929	0.013	0.030875	*
nos-1	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	8	6	-0.340544295787397	11.8283227213712	0.739	0.810057692307692	ns
nos-1	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	6	6	2.97607010329861	9.07938276152141	0.015	0.0347560975609756	*
nos-1	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	8	12	-2.9661425039126	13.3082667384307	0.011	0.0267948717948718	*
nos-1	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	0.188256653880938	11.694098327998	0.854	0.894816176470588	ns
nos-1	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	12	8	3.13332382332536	11.9212094462164	0.009	0.0229017857142857	*
nos-1	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	4	-1.88457382564448	3.00576497320913	0.156	0.234	ns
nos-1	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	0.83107536266695	12.3426648370646	0.422	0.525196506550218	ns
nos-1	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	4	8	1.929245403617	3.01243756779069	0.149	0.225877659574468	ns
npr-35	2-cell	total_no_RNA	spn4_plus	spn4_minus	10	8	-2.29268877566169	10.7149823716136	0.043	0.0817	ns
npr-35	2-cell	total_no_RNA	spn4_plus	spn4_wt	10	9	-0.290711601803996	14.6039585019781	0.775	0.833490566037736	ns
npr-35	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	9	1.85819469005651	13.3677964551334	0.085	0.146818181818182	ns
npr-35	4-cell	total_no_RNA	spn4_plus	spn4_minus	9	8	-2.9762088377437	10.1519142766476	0.014	0.0329752066115702	*
npr-35	4-cell	total_no_RNA	spn4_plus	spn4_wt	9	8	1.3557801469859	13.6218824290678	0.197	0.277945544554455	ns
npr-35	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	3.89329278460079	8.43270868782853	0.004	0.0110679611650485	*
npr-35	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	7	6	-3.1036226447057	6.34472537418222	0.02	0.0435114503816794	*
npr-35	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	7	7	-0.752282378944793	11.498435128394	0.467	0.56636170212766	ns
npr-35	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	6	7	2.61040000918598	7.02632359522888	0.035	0.0692708333333333	ns
npr-35	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	8	9	-2.28409538108227	14.9999792161605	0.037	0.0722260273972603	ns
npr-35	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	8	9	-1.49514593251777	11.4410750518284	0.162	0.239222797927461	ns
npr-35	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	9	9	-0.0422954934437812	11.9742294423565	0.967	0.967	ns
npr-35	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	7	9	-4.00198556229216	13.4582614122038	0.001	0.00327586206896552	**
npr-35	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	-1.74832156067032	12.3560919106831	0.105	0.172976878612717	ns
npr-35	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	2.02691754036576	14.9902232701308	0.061	0.11003164556962	ns
oma-2	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	0.202634724981184	13.9728504622173	0.842	0.892081784386617	ns
oma-2	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	1.49487471840042	13.3718323618242	0.158	0.235759162303665	ns
oma-2	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	1.28839039552854	13.5870877294899	0.219	0.295805687203791	ns
oma-2	4-cell	total_no_RNA	spn4_plus	spn4_minus	7	8	-4.28970622523624	12.982271958699	0.000883	0.00327586206896552	**
oma-2	4-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	2.29486440941718	12.998749373987	0.039	0.0756122448979592	ns
oma-2	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	6.35899016798448	13.9694216390551	1.79e-05	0.000150044117647059	***
oma-2	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	10	8	-3.62762045120697	13.9544548808955	0.003	0.00872448979591837	**
oma-2	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	10	8	4.08692658995038	14.0543542595913	0.001	0.00327586206896552	**
oma-2	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	7.50362574067069	9.70510792221541	2.43e-05	0.000187175675675676	***
oma-2	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	7	9	-13.7991199513962	13.3898435632057	2.67e-09	2.5365e-07	****
oma-2	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	2.71062796729225	7.94131250670966	0.027	0.0561678832116788	ns
oma-2	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	18.0967322075318	9.23276010357764	1.59e-08	1.132875e-06	****
oma-2	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-13.4760593081914	7.75217675364404	1.18e-06	1.815e-05	****
oma-2	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	1.62326067375825	10.030796119045	0.136	0.211803278688525	ns
oma-2	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	14.1652290147565	7.17175010299502	1.67e-06	2.0064e-05	****
pigv-1	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	1.15934970836387	11.1192754229	0.271	0.357569444444444	ns
pigv-1	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	-3.02794516942071	12.430390511957	0.01	0.025	*
pigv-1	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-3.37280121477387	13.5241728720228	0.005	0.0135714285714286	*
pigv-1	4-cell	total_no_RNA	spn4_plus	spn4_minus	10	8	1.33047441862669	15.9501651346852	0.202	0.282205882352941	ns
pigv-1	4-cell	total_no_RNA	spn4_plus	spn4_wt	10	8	-3.80267170396147	12.6899612668183	0.002	0.00619565217391304	**
pigv-1	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-4.91404050070661	11.7327567459943	0.000382	0.00191	**
pigv-1	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	7	8	-3.03838441008238	12.7120898776619	0.01	0.025	*
pigv-1	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	-2.3609039612369	9.16433436483998	0.042	0.0803355704697987	ns
pigv-1	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-0.822140083473499	8.91525178021395	0.432	0.530689655172414	ns
pigv-1	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	0.634470524254849	13.1942147362438	0.537	0.627233606557377	ns
pigv-1	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	-0.503836025734461	10.3809376479316	0.625	0.706845238095238	ns
pigv-1	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-1.15586108507398	9.12501915075934	0.277	0.363801843317972	ns
pigv-1	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	7	9	-1.72781620758195	7.56741934559258	0.124	0.197430167597765	ns
pigv-1	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	1.16196920945062	11.7510480519643	0.268	0.355255813953488	ns
pigv-1	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	3.86460391826994	9.94547407596154	0.003	0.00872448979591837	**
vab-2	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	1.5309436830351	13.9660148267359	0.148	0.225561497326203	ns
vab-2	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	1.68543217680832	13.9993955613691	0.114	0.185657142857143	ns
vab-2	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	0.190568348767644	13.9744336980853	0.852	0.894816176470588	ns
vab-2	4-cell	total_no_RNA	spn4_plus	spn4_minus	7	9	-1.86484185541755	11.4403023680568	0.088	0.151084337349398	ns
vab-2	4-cell	total_no_RNA	spn4_plus	spn4_wt	7	9	0.342411548996926	13.9232638554178	0.737	0.810057692307692	ns
vab-2	4-cell	total_no_RNA	spn4_minus	spn4_wt	9	9	1.97666868453049	12.7381864583621	0.07	0.12239263803681	ns
vab-2	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-1.81059923982329	12.3849997991404	0.094	0.157588235294118	ns
vab-2	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	-0.507050719710035	13.1600590762055	0.621	0.706845238095238	ns
vab-2	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	1.55191096903222	10.6356087248992	0.15	0.226190476190476	ns
vab-2	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	9	8	-2.59580026655593	12.7027064127932	0.022	0.0475	*
vab-2	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	9	9	-0.74291816417189	10.4699449000906	0.474	0.572415254237288	ns
vab-2	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	9	2.50842706120183	8.04789921933499	0.036	0.0707586206896552	ns
vab-2	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	0.996251281624951	7.05954321280122	0.352	0.451891891891892	ns
vab-2	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	-0.106524876184323	13.0695547909691	0.917	0.943483754512635	ns
vab-2	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-1.48282552818367	7.10287717498294	0.181	0.259221105527638	ns
