transcript	cell_stage	.y.	group1	group2	n1	n2	statistic	df	p	p.adj	p.adj.signif
cpg-2	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-8.79933301854164	12.3370250842549	1.14e-06	1.815e-05	****
cpg-2	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	8	9	6.70621524648452	8.1471998771728	0.00014	0.000814285714285714	***
cpg-2	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	9	15.1049157074506	7.53203280099231	6.65e-07	1.45788461538462e-05	****
cpg-2	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-9.03855975784331	8.60406524462707	1.11e-05	0.000109086206896552	***
cpg-2	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	3.41624356278082	7.3135032357656	0.011	0.0267948717948718	*
cpg-2	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	10.7121146048297	7.0364223498013	1.31e-05	0.000120435483870968	***
cpg-2	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-13.3079717325953	8.22599171457459	7.5e-07	1.52678571428571e-05	****
cpg-2	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	3.84489237399798	7.26441289599411	0.006	0.0158333333333333	*
cpg-2	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	15.0232281023464	7.02334346666894	1.35e-06	1.83214285714286e-05	****
egg-3	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-1.0421090573651	13.193147983851	0.316	0.411232876712329	ns
egg-3	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	7	2.04548400453405	12.9685935959861	0.062	0.111132075471698	ns
egg-3	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	7	2.8365862046607	12.0174811508957	0.015	0.0347560975609756	*
egg-3	4-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-4.11304766889999	13.9203558810355	0.001	0.00327586206896552	**
egg-3	4-cell	total_no_RNA	spn4_plus	spn4_wt	8	9	1.60834802314011	10.5514990129526	0.137	0.212201086956522	ns
egg-3	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	9	6.99553895484939	11.060590548902	2.22e-05	0.00017575	***
egg-3	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	8	7	-2.7027847334136	9.54803204824503	0.023	0.0492857142857143	*
