gene_ID	name	SPN4	OMA1	LIN41	spn4_enrichment	oma1_enrichment	lin41_enrichment	Log2_SPN-4_LYSATE_FPKM	Log2_SPN-4_IP_FPKM	Log2_OMA-1_LYSATE_FPKM	Log2_OMA-1_IP_FPKM	Log2_LIN-41_LYSATE_FPKM	Log2_LIN-41_IP_FPKM	Kimble_Log2FC	Kimble_Adjusted_p-value	Kimble_Sperm_FPKM	Kimble_Oocyte_FPKM	Stoeckius_Sperm_RPKM	Stoeckius_Oocyte_RPKM	Stoeckius_oneCell_RPKM	Stoeckius_twoCell_RPKM
WBGene00016920	C54E4.5	FALSE	FALSE	FALSE	-0.997412013	1.171070598	-0.763161532	2.405	1.335	2.175	3.341	1.79	1.009	0.650065767	0.331128212	1.071	0.685	5.373	0.106	0.326	0.457
WBGene00001557	gcy-37	FALSE	FALSE	FALSE	-0.678204957	0.507479675	1.374215119	-1.188	-1.629	-1.709	-1.364	-1.617	-0.522	-4.970951409	9.45488E-06	0.003	0.13	0.031	0.357	1	0.967
WBGene00219665	linc-101	FALSE	FALSE	FALSE		0.722283033	-1.995025423	-3.322	-3.322	-2.145	-1.611	-0.922	-3.322			0	0				
WBGene00016919	C54E4.4	FALSE	FALSE	FALSE	0.854655766	0.313224681	0.531189311	-2.483	-2.243	-1.997	-2.054	-2.165	-2.039	0.458277413	0.883571074	0.035	0.026	0.112	0.03	0.042	0.127
WBGene00195956	C54E4.6	FALSE	FALSE	FALSE	2.162390758		2.032574856	-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00201637	C54E4.9	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00016917	C54E4.1	FALSE	FALSE	FALSE	-1.183322137	-0.389242678	0.823095653	-1.429	-3.322	-2.027	-2.202	-2.009	-1.816	-0.449942204	0.654462582	0.1	0.135	0.047	0.347	1.003	1.103
WBGene00198825	C54E4.7	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00202203	C54E4.10	FALSE	FALSE	FALSE		-0.099939324	2.994334293	-3.322	-3.322	-2.122	-3.322	-3.322	-1.982			0	0				
WBGene00201391	C54E4.8	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
