ImageID date mRNA_name cell_stage label lineage abundance perimeter major_axis_length minor_axis_length circumference volume abundance_by_vol
32 233060_N2_lin-41_set-3_06 233060 lin41_mRNA 2-cell AB Somatic 712 989.8691911 290.1512769 271.4999024 959.556627673684 1453316898.61849 4.8991379696804e-07
33 233060_N2_lin-41_set-3_11 233060 lin41_mRNA 2-cell AB Somatic 2537 893.9991334 295.7125023 234.0757013 959.556627673684 1453316898.61849 1.7456619422864e-06
34 233060_N2_lin-41_set-3_11 233060 lin41_mRNA 2-cell P1 Germline 2077 661.7787873 223.1599379 158.7824957 790.326683621053 812023186.998301 2.55780873410496e-06
35 233060_N2_lin-41_set-3_12 233060 lin41_mRNA 2-cell AB Somatic 1530 815.1686143 249.1405091 227.0841603 959.556627673684 1453316898.61849 1.05276419854087e-06
36 233060_N2_lin-41_set-3_12 233060 lin41_mRNA 2-cell P1 Germline 1650 995.7726907 292.2289196 261.6853641 790.326683621053 812023186.998301 2.03196168092113e-06
37 233060_N2_lin-41_set-3_14 233060 lin41_mRNA 2-cell P1 Germline 2295 798.766594 258.8189948 204.9137642 790.326683621053 812023186.998301 2.82627397437212e-06
38 233060_N2_lin-41_set-3_14 233060 lin41_mRNA 2-cell AB Somatic 3202 1026.104689 289.1870846 283.991127 959.556627673684 1453316898.61849 2.20323592400514e-06
39 230521_N2_05 230521 lin41_mRNA 4-cell ABa Somatic 109 700.3401872 235.5596813 160.4049989 658.4813024 469654878.617405 2.32085314052054e-07
40 230521_N2_05 230521 lin41_mRNA 4-cell EMS Somatic 320 632.7005769 220.3183463 144.6450516 584.855328428571 329074210.432754 9.72425033183789e-07
41 230521_N2_05 230521 lin41_mRNA 4-cell ABp Somatic 164 674.156421 207.6806588 167.8507117 660.097397042857 473121360.047931 3.4663410669809e-07
42 230521_N2_05 230521 lin41_mRNA 4-cell P2 Germline 586 575.3279938 191.5795382 131.5967663 565.742057957143 297854312.732992 1.96740478465159e-06
43 230521_N2_06 230521 lin41_mRNA 4-cell ABa Somatic 57 629.5706345 225.4251807 141.0141167 658.4813024 469654878.617405 1.21365714687772e-07
44 230521_N2_06 230521 lin41_mRNA 4-cell EMS Somatic 162 576.8132752 197.8896154 135.302114 584.855328428571 329074210.432754 4.92290173049293e-07
45 230521_N2_06 230521 lin41_mRNA 4-cell ABp Somatic 65 632.3158005 185.6673044 155.2055632 660.097397042857 473121360.047931 1.37385469118146e-07
46 230521_N2_06 230521 lin41_mRNA 4-cell P2 Germline 250 546.9432175 204.1459931 106.717638 565.742057957143 297854312.732992 8.39336512223374e-07
